image_path,label_path,condition,split
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000041_rgb_ref_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000041_gt_ref_labelTrainIds.png,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000049_rgb_ref_anon.png,,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000096_rgb_ref_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000096_gt_ref_labelTrainIds.png,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000116_rgb_ref_anon.png,,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000122_rgb_ref_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000122_gt_ref_labelTrainIds.png,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000128_rgb_ref_anon.png,,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000135_rgb_ref_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000135_gt_ref_labelTrainIds.png,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000148_rgb_ref_anon.png,,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000154_rgb_ref_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000154_gt_ref_labelTrainIds.png,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000161_rgb_ref_anon.png,,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000168_rgb_ref_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/train_ref/GOPR0475/GOPR0475_frame_000168_gt_ref_labelTrainIds.png,normal,train
/home/user/DATA/awseg/data/raw/rgb_anon/fog/train_ref/GOPR0475/GOPR0475_frame_000174_rgb_ref_anon.png,,normal,train
