class_id,class,tp,fp,fn,iou,error_pixels
0,road,35130818,966742,516928,0.9594786085770202,1483670
1,sidewalk,10593745,1039549,1311585,0.8183734278242385,2351134
2,building,29886024,2278735,1693970,0.8826682182901786,3972705
3,wall,2131332,741738,654711,0.6041565505341743,1396449
4,fence,1980084,610313,1306935,0.5080614122687007,1917248
5,pole,1478571,393319,467718,0.6319738178361504,861037
6,traffic_light,301932,38457,55304,0.7630460988695782,93761
7,traffic_sign,427231,86664,145362,0.6480492433148226,232026
8,vegetation,42023271,2966735,3024696,0.8752167409057334,5991431
9,terrain,1588569,434919,839745,0.5548165308237227,1274664
10,sky,56336393,1576284,1023306,0.9558912931001762,2599590
11,person,235951,45959,82180,0.648056799143069,128139
12,rider,5577,2905,11598,0.2777390438247012,14503
13,car,3333376,250733,182252,0.8850389009444395,432985
14,truck,633853,60783,81076,0.8171241388556578,141859
15,bus,855412,17790,78244,0.8990652123189335,96034
16,train,1215120,62330,69100,0.902395009468642,131430
17,motorcycle,36561,8963,28482,0.494027511282869,37445
18,bicycle,113133,34719,44445,0.5883243108316822,79164
