gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35130818,398943,7812,6507,11592,6681,33,1383,6126,12094,121,1912,59,42856,5587,3955,10475,566,226
sidewalk,792539,10593745,62645,90476,46587,22578,0,881,77825,167908,0,9963,146,19606,8994,84,353,590,10410
building,1473,40427,29886024,130750,70235,72108,9065,18721,936803,3467,327813,6576,267,27151,4791,7379,29629,996,6319
wall,27202,121965,150831,2131332,148084,15752,10,3600,147204,18364,4899,2065,18,11123,367,3,1977,477,770
fence,22385,50095,353864,361822,1980084,53591,630,13615,341694,56936,12872,1500,49,34365,665,67,216,1377,1192
pole,6788,28517,150220,9247,19202,1478571,12047,11309,150911,13837,47972,2518,24,10007,1100,177,1897,202,1743
traffic_light,0,0,20404,1,10,9997,301932,2125,16868,0,5362,0,0,164,198,29,142,0,4
traffic_sign,2376,992,68334,1422,13233,19752,1912,427231,25343,1091,3180,3351,10,2048,570,19,1151,115,463
vegetation,4674,95588,1093509,98106,222844,129238,9032,14102,42023271,159699,1160144,6018,156,23322,2150,740,1994,585,2795
terrain,34197,270815,13255,35534,52177,8382,13,54,417230,1588569,3784,659,3,2873,254,35,17,177,286
sky,4,349,222767,7,1735,33150,4319,15372,741816,0,56336393,0,0,621,277,935,1954,0,0
person,5686,11951,21059,1476,2469,5496,49,1160,17169,230,56,235951,666,8379,1103,310,2570,960,1391
rider,199,156,889,11,350,428,0,74,465,3,0,5400,5577,1197,547,0,0,957,922
car,51948,6127,40883,2607,6643,8199,298,2250,28531,876,187,2555,70,3333376,24860,3019,2113,910,176
truck,4635,1174,24815,696,2786,2646,639,1448,4862,147,1510,239,532,30696,633853,879,3369,0,3
bus,5842,630,6169,673,0,2439,327,141,40825,6,5415,251,87,7778,3210,855412,4451,0,0
train,5772,195,24692,34,3720,1254,83,387,3457,0,2969,998,0,19464,5916,159,1215120,0,0
motorcycle,512,2490,3220,1903,449,169,0,0,1383,70,0,1337,189,8720,21,0,0,36561,8019
bicycle,510,9135,13367,466,8197,1459,0,42,8223,191,0,617,629,363,173,0,22,1051,113133
