dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.5576963470951671,0.02350196335760189,0.0,0.02350196335760189,0.018058384249830278,480045,0,480045,7365,11282,0,11282,133
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7512221549941325,0.02416277828820407,0.0,0.02416277828820407,0.04031493075317776,498494,0,498494,10542,12045,0,12045,425
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.8229393758531788,0.020903468566739386,0.0,0.020903468566739386,0.02820796460176991,499630,0,499630,1808,10444,0,10444,51
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7507843374651927,0.015155384434054925,0.0,0.015155384434054925,0.03453086850366237,509060,0,509060,11468,7715,0,7715,396
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7058776971442676,0.02442837718431129,0.0,0.02442837718431129,0.03495210888926231,495694,0,495694,5951,12109,0,12109,208
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6762683018031621,0.013645687436811993,0.0,0.013645687436811993,0.027188465499485066,513349,0,513349,53405,7005,0,7005,1452
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.5705776651690138,0.020327618741719195,0.0,0.020327618741719195,0.061317333684973954,498140,0,498140,15167,10126,0,10126,930
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6214238106370946,0.041390325619700644,0.0,0.041390325619700644,0.023944170376609314,480837,0,480837,8311,19902,0,19902,199
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.4739481222796474,0.08725728028985809,0.0,0.08725728028985809,0.204143059490085,480235,0,480235,11296,41904,0,41904,2306
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6312238518419365,0.03374445606715562,0.0,0.03374445606715562,0.0256198347107438,498067,0,498067,3630,16807,0,16807,93
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.6342487573975546,0.040198636379638795,0.0,0.040198636379638795,0.015647663838952133,511286,0,511286,22751,20553,0,20553,356
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.7033221633550956,0.0573091215600141,0.0,0.0573091215600141,0.01524390243902439,493534,0,493534,328,28284,0,28284,5
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.6658918782771561,0.04078324136920748,0.0,0.04078324136920748,0.0858128503665373,511975,0,511975,2319,20880,0,20880,199
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7328632738445975,0.030799467947827123,0.0,0.030799467947827123,0.07750759878419453,503710,0,503710,1316,15514,0,15514,102
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.774449221712648,0.055623245944280926,0.0,0.055623245944280926,0.17636526410026857,511315,0,511315,3351,28441,0,28441,591
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.661198643460384,0.07639595340305887,0.0,0.07639595340305887,0.01621271076523995,514111,0,514111,6168,39276,0,39276,100
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.7080454573525442,0.04217061510843648,0.0,0.04217061510843648,0.13342696629213482,509146,0,509146,2848,21471,0,21471,380
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6674720942334026,0.05158475832484695,0.0,0.05158475832484695,0.047017452461578534,508658,0,508658,7678,26239,0,26239,361
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.6043394148670289,0.057225953633182176,0.0,0.057225953633182176,0.03759398496240601,502342,0,502342,1064,28747,0,28747,40
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7798707067153895,0.03287816829448898,0.0,0.03287816829448898,0.2598105548037889,511829,0,511829,739,16828,0,16828,192
20,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000899_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000899_gt_labelTrainIds.png,fog,0.717898698720745,0.031563192882649874,0.0,0.031563192882649874,0.005140535610645884,503783,0,503783,12061,15901,0,15901,62
21,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000904_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000904_gt_labelTrainIds.png,fog,0.591560079417513,0.027986644969418103,0.0,0.027986644969418103,0.05523906408952187,498988,0,498988,9830,13965,0,13965,543
22,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000910_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000910_gt_labelTrainIds.png,fog,0.6737117039788477,0.03302139762462866,0.0,0.03302139762462866,0.031174508225008626,497859,0,497859,8693,16440,0,16440,271
23,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000916_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000916_gt_labelTrainIds.png,fog,0.7626766413723983,0.047497489286957496,0.0,0.047497489286957496,0.021286889211417512,499858,0,499858,10335,23742,0,23742,220
24,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000921_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000921_gt_labelTrainIds.png,fog,0.6057507305568263,0.025180408413941348,0.0,0.025180408413941348,0.03403829520207588,501501,0,501501,58963,12628,0,12628,2007
25,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000926_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000926_gt_labelTrainIds.png,fog,0.5903095837378949,0.025500104188372577,0.0,0.025500104188372577,0.03939199314921858,499096,0,499096,14013,12727,0,12727,552
26,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000931_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000931_gt_labelTrainIds.png,fog,0.46824202383602187,0.02591327636317366,0.0,0.02591327636317366,0.123342175066313,495113,0,495113,10556,12830,0,12830,1302
27,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000935_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000935_gt_labelTrainIds.png,fog,0.6942536119418823,0.018698864087695607,0.0,0.018698864087695607,0.008429926238145416,503560,0,503560,2847,9416,0,9416,24
28,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000940_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000940_gt_labelTrainIds.png,fog,0.5228818211422591,0.02648044361415058,0.0,0.02648044361415058,0.048723293381969776,505845,0,505845,3838,13395,0,13395,187
29,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000944_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000944_gt_labelTrainIds.png,fog,0.5201037867436883,0.033041945286356296,0.0,0.033041945286356296,0.01886120996441281,507113,0,507113,101160,16756,0,16756,1908
30,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000948_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000948_gt_labelTrainIds.png,fog,0.7116723788166114,0.026105584769025955,0.0,0.026105584769025955,0.03168902503432978,509278,0,509278,9467,13295,0,13295,300
31,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000952_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000952_gt_labelTrainIds.png,fog,0.6603000654179013,0.026152075555274316,0.0,0.026152075555274316,0.006661591168633422,505696,0,505696,5254,13225,0,13225,35
32,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000957_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000957_gt_labelTrainIds.png,fog,0.6686645611998501,0.04293503636032086,0.0,0.04293503636032086,0.2638680659670165,499033,0,499033,4002,21426,0,21426,1056
33,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000962_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000962_gt_labelTrainIds.png,fog,0.5449208747016174,0.0166903177656544,0.0,0.0166903177656544,0.0347466572836031,475665,0,475665,11368,7939,0,7939,395
34,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000982_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000982_gt_labelTrainIds.png,fog,0.6574507571855871,0.02437908009411141,0.0,0.02437908009411141,0.06332616046726099,482832,0,482832,16265,11771,0,11771,1030
35,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_001002_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_001002_gt_labelTrainIds.png,fog,0.715321285663052,0.09104602938313508,0.0,0.09104602938313508,0.07062530894710825,508523,0,508523,16184,46299,0,46299,1143
36,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_001007_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_001007_gt_labelTrainIds.png,fog,0.7063561967629565,0.045404423558093286,0.0,0.045404423558093286,0.006740241463595289,498784,0,498784,135010,22647,0,22647,910
37,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_001011_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_001011_gt_labelTrainIds.png,fog,0.6419894984496163,0.03147646454509756,0.0,0.03147646454509756,0.3221704111911827,504218,0,504218,7077,15871,0,15871,2280
38,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_001015_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_001015_gt_labelTrainIds.png,fog,0.6611756055340696,0.02418345743976374,0.0,0.02418345743976374,0.0305195771921989,505883,0,505883,6717,12234,0,12234,205
