class_id,class,tp,fp,fn,iou,error_pixels
0,road,35027505,834273,620241,0.9601306605316992,1454514
1,sidewalk,10705333,1128725,1199997,0.8213355705496103,2328722
2,building,29635192,2159335,1944802,0.8783574800791089,4104137
3,wall,2169047,913570,616996,0.5862902417090653,1530566
4,fence,1950425,640418,1336594,0.4966152225993695,1977012
5,pole,1548061,490458,398228,0.6352982069948173,888686
6,traffic_light,309792,45425,47444,0.7693618204891957,92869
7,traffic_sign,428540,80678,144053,0.6559911583401069,224731
8,vegetation,41951414,2971759,3096553,0.8736287666447743,6068312
9,terrain,1578812,424597,849502,0.5534038741481946,1274099
10,sky,56330446,1650697,1029253,0.954585120899714,2679950
11,person,247731,53519,70400,0.6665706982375891,123919
12,rider,6074,1760,11101,0.32078162133615,12861
13,car,3363631,293626,151997,0.8830156770853296,445623
14,truck,627492,30261,87437,0.8420563883036541,117698
15,bus,862191,18728,71465,0.9052976530475102,90193
16,train,1212985,64076,71235,0.8996429567394697,135311
17,motorcycle,34895,8040,30148,0.4774708208475295,38188
18,bicycle,107466,17613,50112,0.6134219223590253,67725
