gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35027505,488213,6839,8250,12554,8959,183,728,6570,12231,121,2659,37,52101,4653,5686,10083,188,186
sidewalk,672764,10705333,57572,118669,48032,24957,0,432,73576,157682,0,15058,113,20108,4889,154,270,752,4969
building,2262,41580,29635192,184834,84930,99259,11181,22306,1020744,3281,378657,8325,112,39247,3398,6377,33124,650,4535
wall,30944,103455,160477,2169047,152242,14091,0,769,117238,16833,5259,2086,36,12019,77,5,1060,259,146
fence,19785,56326,350369,414230,1950425,46835,1516,12214,349644,39064,7564,1388,89,34636,307,476,108,1127,916
pole,4969,28150,126078,10366,24232,1548061,13472,10706,112992,13648,38480,2197,29,8689,871,114,1824,119,1292
traffic_light,0,0,16840,12,36,11037,309792,1454,13183,0,4456,0,0,131,133,21,141,0,0
traffic_sign,3170,944,65964,1606,15170,23183,2077,428540,21839,411,3287,2035,0,2361,269,20,1220,92,405
vegetation,6322,96533,1021227,117559,222381,180233,9988,19480,41951414,178746,1201154,6887,150,27840,2231,935,1950,490,2447
terrain,30312,283415,13669,46405,52822,10156,5,77,406098,1578812,2628,691,1,2791,52,159,17,166,38
sky,3,338,211967,0,4141,45645,5699,7486,750188,0,56330446,0,0,365,270,1194,1957,0,0
person,2351,7601,18735,3119,2195,6108,52,785,14907,1639,57,247731,239,7596,545,267,3391,148,665
rider,169,245,579,15,337,637,0,75,529,14,0,5830,6074,905,525,0,0,503,738
car,45777,5945,38046,2837,5993,9083,278,2227,22473,742,218,2929,20,3363631,10529,1884,1984,1010,22
truck,4575,1080,25162,801,3728,3057,196,1196,6105,139,1134,298,0,36001,627492,1370,2590,0,5
bus,3487,349,4551,680,14,2722,577,162,39276,3,5177,269,10,8700,1142,862191,4346,0,0
train,6511,320,24730,44,2668,1944,201,542,3419,0,2505,882,0,27172,222,66,1212985,9,0
motorcycle,435,2554,4299,2681,1130,217,0,3,3938,20,0,910,442,12270,0,0,0,34895,1249
bicycle,437,11677,12231,1462,7813,2335,0,36,9040,144,0,1075,482,694,148,0,11,2527,107466
