dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.5228826734610529,0.0247622618712829,0.0,0.0247622618712829,0.01928038017651052,480045,0,480045,7365,11887,0,11887,142
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7547389024150065,0.022618125794894223,0.0,0.022618125794894223,0.043255549231644846,498494,0,498494,10542,11275,0,11275,456
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.8336337676982043,0.021774112843504192,0.0,0.021774112843504192,0.020464601769911505,499630,0,499630,1808,10879,0,10879,37
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7526058952675893,0.01635956468785605,0.0,0.01635956468785605,0.030868503662364842,509060,0,509060,11468,8328,0,8328,354
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7647030979242685,0.025656957719883636,0.0,0.025656957719883636,0.02016467820534364,495694,0,495694,5951,12718,0,12718,120
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6798264734979326,0.01284506252081917,0.0,0.01284506252081917,0.021514839434509877,513349,0,513349,53405,6594,0,6594,1149
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.5328050200731227,0.022365198538563457,0.0,0.022365198538563457,0.056438320036922264,498140,0,498140,15167,11141,0,11141,856
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6675941203288798,0.045252341229980224,0.0,0.045252341229980224,0.02093610877150764,480837,0,480837,8311,21759,0,21759,174
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.49972143094206384,0.10034878757275084,0.0,0.10034878757275084,0.20086756373937678,480235,0,480235,11296,48191,0,48191,2269
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6443035430812051,0.03450941339217414,0.0,0.03450941339217414,0.01652892561983471,498067,0,498067,3630,17188,0,17188,60
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.6936779580663428,0.03937913418321644,0.0,0.03937913418321644,0.00887873060524812,511286,0,511286,22751,20134,0,20134,202
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.6921822832199367,0.0573010167485928,0.0,0.0573010167485928,0.012195121951219513,493534,0,493534,328,28280,0,28280,4
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.7186539557366144,0.03995312271106988,0.0,0.03995312271106988,0.1073738680465718,511975,0,511975,2319,20455,0,20455,249
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7116172629128887,0.03695578805264934,0.0,0.03695578805264934,0.1344984802431611,503710,0,503710,1316,18615,0,18615,177
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7662840857870026,0.05748120043417463,0.0,0.05748120043417463,0.15099970158161743,511315,0,511315,3351,29391,0,29391,506
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6723088806131947,0.07929805042101803,0.0,0.07929805042101803,0.01248378728923476,514111,0,514111,6168,40768,0,40768,77
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.6706719138975575,0.048396727068463666,0.0,0.048396727068463666,0.09620786516853932,509146,0,509146,2848,24641,0,24641,274
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6746475263268749,0.059251992497906254,0.0,0.059251992497906254,0.023704089606668404,508658,0,508658,7678,30139,0,30139,182
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.6400973719457835,0.0550123222824291,0.0,0.0550123222824291,0.02537593984962406,502342,0,502342,1064,27635,0,27635,27
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7172560788375245,0.031782099099503934,0.0,0.031782099099503934,0.35588633288227334,511829,0,511829,739,16267,0,16267,263
20,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000899_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000899_gt_labelTrainIds.png,fog,0.7542674400606721,0.030284864713577078,0.0,0.030284864713577078,0.006550037310339109,503783,0,503783,12061,15257,0,15257,79
21,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000904_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000904_gt_labelTrainIds.png,fog,0.5925296818606262,0.028906506769701877,0.0,0.028906506769701877,0.038555442522889116,498988,0,498988,9830,14424,0,14424,379
22,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000910_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000910_gt_labelTrainIds.png,fog,0.6894257971647451,0.029032316378733738,0.0,0.029032316378733738,0.01207868399861958,497859,0,497859,8693,14454,0,14454,105
23,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000916_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000916_gt_labelTrainIds.png,fog,0.7406698783573311,0.04847976825418419,0.0,0.04847976825418419,0.020319303338171262,499858,0,499858,10335,24233,0,24233,210
24,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000921_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000921_gt_labelTrainIds.png,fog,0.7290929742439216,0.024655982739815074,0.0,0.024655982739815074,0.03076505605210047,501501,0,501501,58963,12365,0,12365,1814
25,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000926_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000926_gt_labelTrainIds.png,fog,0.6567725953552294,0.02570247006587911,0.0,0.02570247006587911,0.02733176336259188,499096,0,499096,14013,12828,0,12828,383
26,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000931_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000931_gt_labelTrainIds.png,fog,0.5403504048037765,0.02771690502976088,0.0,0.02771690502976088,0.123342175066313,495113,0,495113,10556,13723,0,13723,1302
27,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000935_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000935_gt_labelTrainIds.png,fog,0.7538406191210988,0.019852649138136468,0.0,0.019852649138136468,0.007727432384966632,503560,0,503560,2847,9997,0,9997,22
