class_id,class,tp,fp,fn,iou,error_pixels
0,road,35046620,917455,601126,0.9584692287073713,1518581
1,sidewalk,10583447,1067746,1321883,0.8158008940978994,2389629
2,building,29626625,2160641,1953369,0.8780695739721556,4114010
3,wall,2159244,858302,626799,0.5924916548789975,1485101
4,fence,2080144,748406,1206875,0.5154708611856248,1955281
5,pole,1534437,483580,411852,0.6314895988219941,895432
6,traffic_light,310381,48187,46855,0.7655732407880165,95042
7,traffic_sign,450291,102921,122302,0.6665901816986769,225223
8,vegetation,41867890,2858275,3180077,0.8739547969552695,6038352
9,terrain,1595657,501237,832657,0.5446763002248467,1333894
10,sky,56303525,1622434,1056174,0.9545861116958927,2678608
11,person,242838,50232,75293,0.6592355909795501,125525
12,rider,8435,2994,8740,0.41821607417323614,11734
13,car,3373564,364665,142064,0.8694096038623887,506729
14,truck,627332,34293,87597,0.8373112375237246,121890
15,bus,839462,16989,94194,0.883044669671644,111183
16,train,1202467,59704,81753,0.8947433039368298,141457
17,motorcycle,36111,9875,28932,0.4820069943137831,38807
18,bicycle,108594,19590,48984,0.6129436467082091,68574
