gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35046620,467100,6620,7466,14299,8369,112,1103,5268,13490,121,2603,55,53636,4720,5845,9920,217,182
sidewalk,742723,10583447,58357,123852,60359,26831,0,1180,70162,188657,0,11740,71,22956,7173,148,245,1088,6341
building,1729,40529,29626625,200861,99017,91684,12115,28673,979245,3661,393927,8119,176,47997,3542,5927,30680,690,4797
wall,30814,99621,145995,2159244,190994,15812,1,1176,99438,17900,5572,2177,49,15005,330,3,1416,328,168
fence,22544,56845,304222,332126,2080144,48726,1557,16427,304156,46957,9357,1333,190,58299,1270,261,329,1415,861
pole,5652,27701,129633,10172,28309,1534437,13911,13671,111268,15634,39841,2043,39,9864,911,108,1508,167,1420
traffic_light,0,0,16427,7,14,10759,310381,2250,12333,0,4645,12,0,150,124,17,117,0,0
traffic_sign,2903,905,53117,1292,14366,19172,2010,450291,19216,345,2449,1204,0,3500,266,70,779,291,417
vegetation,8449,90362,1063651,125868,251337,176538,11201,22945,41867890,212390,1156557,9112,190,42642,2152,1060,1756,963,2904
terrain,34900,255356,28567,47823,61713,9472,5,150,388040,1595657,1223,727,9,4225,58,176,6,168,39
sky,7,325,213055,5,3030,46149,5861,8147,775541,0,56303525,0,0,513,339,1253,1949,0,0
person,4127,8306,19034,1453,2470,11825,19,1899,11431,1070,64,242838,312,9010,708,220,2465,244,636
rider,146,250,883,20,232,458,0,71,329,9,0,3817,8435,829,507,0,0,490,699
car,45067,5205,35340,2146,7176,7975,216,1714,19079,911,146,3467,31,3373564,10290,965,1605,714,17
truck,4998,1099,21228,471,3758,2731,225,1591,4735,127,848,312,0,42047,627332,906,2521,0,0
bus,3889,515,17955,800,39,3137,730,150,45358,0,5443,271,26,10053,1436,839462,4392,0,0
train,8626,373,31082,58,2522,1802,224,1744,3508,0,2241,1266,0,27964,311,30,1202467,2,0
motorcycle,474,1943,2574,1488,1621,201,0,0,2356,26,0,605,1343,15192,0,0,0,36111,1109
bicycle,407,11311,12901,2394,7150,1939,0,30,6812,60,0,1424,503,783,156,0,16,3098,108594
