class_id,class,tp,fp,fn,iou,error_pixels
0,road,35004939,783967,642807,0.9608370322855804,1426774
1,sidewalk,10803236,1234152,1102094,0.8221964914598612,2336246
2,building,29516704,1985674,2063290,0.8793718629404307,4048964
3,wall,2143920,840329,642123,0.5912024469635216,1482452
4,fence,1953899,565966,1333120,0.5071130565003498,1899086
5,pole,1536397,487037,409892,0.6313979302403377,896929
6,traffic_light,309322,43548,47914,0.7717922871172502,91462
7,traffic_sign,445199,108057,127394,0.6540791890105047,235451
8,vegetation,42208611,3206859,2839356,0.8747023769187355,6046215
9,terrain,1568267,489444,860047,0.5374904292953699,1349491
10,sky,56203603,1463636,1156096,0.9554644088098712,2619732
11,person,249847,60124,68284,0.6605253070018903,128408
12,rider,5710,1872,11465,0.29978474300414765,13337
13,car,3363118,328534,152510,0.8748637544411499,481044
14,truck,633548,41747,81381,0.8372777780714599,123128
15,bus,857297,27024,76359,0.8923856018653454,103383
16,train,1214199,61991,70021,0.9019381062849732,132012
17,motorcycle,37165,5887,27878,0.5239672916960384,33765
18,bicycle,114680,19081,42898,0.6491602465767382,61979
