gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35004939,511907,5103,6370,9241,8732,0,1211,5893,14535,121,2868,54,56334,3618,5742,10723,133,222
sidewalk,608857,10803236,55768,99107,41109,24532,0,846,64111,159116,0,14358,73,21627,5489,111,232,535,6223
building,2482,47391,29516704,192991,103332,100033,10703,29885,1093388,4853,372080,10949,120,47497,4303,7428,30309,723,4823
wall,33504,149346,137842,2143920,143586,16136,3,2275,119060,20988,3,2396,52,13961,92,20,2234,541,84
fence,29041,74175,314015,355306,1953899,47595,49,19953,369209,53923,11863,1349,193,47143,243,7128,125,1016,794
pole,5356,28187,117353,10644,19417,1536397,12622,14978,131850,15450,36617,2331,49,10423,764,99,1692,431,1629
traffic_light,4,0,15729,12,10,11930,309322,2401,13492,0,3916,9,0,157,110,16,128,0,0
traffic_sign,2549,1316,55325,1757,11584,20508,2203,445199,22402,327,2460,1660,0,2793,483,124,1278,134,491
vegetation,8194,99123,938934,121141,176133,168692,10816,21790,42208611,216939,1026135,8928,242,35015,2081,1206,1455,330,2202
terrain,27807,291148,22077,41908,40018,8187,4,65,423863,1568267,58,851,8,3762,38,104,0,127,22
sky,7,345,215636,2,2435,53087,5810,9767,864900,0,56203603,1,0,614,293,1500,1699,0,0
person,3498,7099,14834,2406,1563,7330,27,1059,14262,1719,50,249847,321,8309,955,260,3908,171,513
rider,152,94,430,11,177,471,67,44,497,5,0,6638,5710,947,612,0,0,545,775
car,44391,10407,29818,2959,3593,8240,258,1397,23150,1161,139,3838,1,3363118,18073,2186,2030,839,30
truck,5796,1098,21650,1007,3110,2719,223,1320,5822,191,1100,198,0,33984,633548,968,2195,0,0
bus,4832,352,3850,1816,93,3897,567,167,37898,2,4979,212,46,9625,4047,857297,3976,0,0
train,6942,282,24172,5,3744,2718,196,847,4042,0,4115,973,0,21506,347,132,1214199,0,0
motorcycle,178,2061,2712,1996,1511,276,0,0,2671,22,0,1251,327,13600,0,0,0,37165,1273
bicycle,377,9821,10426,891,5310,1954,0,52,10349,213,0,1314,386,1237,199,0,7,362,114680
