dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.51728045394314,0.024883083877553145,0.0,0.024883083877553145,0.016293279022403257,480045,0,480045,7365,11945,0,11945,120
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.6704872890795671,0.02359908043025593,0.0,0.02359908043025593,0.029595902105862264,498494,0,498494,10542,11764,0,11764,312
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.765976699709471,0.0226087304605408,0.0,0.0226087304605408,0.02267699115044248,499630,0,499630,1808,11296,0,11296,41
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7523605778578769,0.017326051938867718,0.0,0.017326051938867718,0.028514126264387863,509060,0,509060,11468,8820,0,8820,327
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.8619362143209032,0.02284675626495378,0.0,0.02284675626495378,0.022853301966056123,495694,0,495694,5951,11325,0,11325,136
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.7345734983346842,0.01101394957426624,0.0,0.01101394957426624,0.02213275910495272,513349,0,513349,53405,5654,0,5654,1182
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.6317155381383054,0.022212630987272653,0.0,0.022212630987272653,0.04951539526603811,498140,0,498140,15167,11065,0,11065,751
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6337956176010932,0.04102013780137552,0.0,0.04102013780137552,0.020815786307303574,480837,0,480837,8311,19724,0,19724,173
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.4853169914851821,0.10370964215436193,0.0,0.10370964215436193,0.18094900849858356,480235,0,480235,11296,49805,0,49805,2044
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6439261928371225,0.034220295663033286,0.0,0.034220295663033286,0.01652892561983471,498067,0,498067,3630,17044,0,17044,60
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.6832121543189403,0.04048223499176586,0.0,0.04048223499176586,0.007120566128961364,511286,0,511286,22751,20698,0,20698,162
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.6791208065124774,0.05996952590905591,0.0,0.05996952590905591,0.01524390243902439,493534,0,493534,328,29597,0,29597,5
