class_id,class,tp,fp,fn,iou,error_pixels
0,road,35052832,930426,594914,0.9582991736164399,1525340
1,sidewalk,10607632,1114100,1297698,0.8147539485215558,2411798
2,building,29630858,2090554,1949136,0.8800230397200545,4039690
3,wall,2162508,888275,623535,0.5885467724894797,1511810
4,fence,1929698,602640,1357321,0.4961098132252724,1959961
5,pole,1531611,475937,414678,0.6323154817097991,890615
6,traffic_light,311825,47857,45411,0.769761511554137,93268
7,traffic_sign,438536,87304,134057,0.6645521952668371,221361
8,vegetation,42101249,3172591,2946718,0.8730975074987726,6119309
9,terrain,1564930,491991,863384,0.5358789578485809,1355375
10,sky,56211425,1533206,1148274,0.9544685391219876,2681480
11,person,252050,62529,66081,0.6621394420217517,128610
12,rider,6541,2107,10634,0.3392282958199357,12741
13,car,3351664,301237,163964,0.8781196086316911,465201
14,truck,627167,33749,87762,0.8376992512134723,121511
15,bus,851316,17557,82340,0.8949793579356043,99897
16,train,1213631,62463,70589,0.9012002082152964,133052
17,motorcycle,35782,9925,29261,0.47729698004481913,39186
18,bicycle,104609,14278,52969,0.6087014709989759,67247
