gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35052832,464280,6321,7231,12410,8228,182,832,6062,15041,121,3156,53,50906,4347,5315,10079,168,182
sidewalk,760930,10607632,55484,115039,51117,24211,0,410,72378,170937,0,14722,79,21893,4272,103,214,834,5075
building,2474,40013,29630858,168864,79458,97565,11845,24342,1061726,3490,360906,10843,109,41609,4439,6021,31452,675,3305
wall,31380,110494,144016,2162508,149506,12843,6,668,131229,21025,8509,2249,61,10809,64,7,199,360,110
fence,19123,58756,340010,418458,1929698,46996,866,13879,340868,66675,10356,1723,205,37292,65,26,86,1425,512
pole,5770,28384,130251,10329,22043,1531611,13153,11506,124313,13728,38585,2746,52,9581,789,119,1829,339,1161
traffic_light,6,0,16708,4,41,9973,311825,1505,12571,0,4194,2,0,130,127,24,126,0,0
traffic_sign,2584,955,59723,1585,13656,21272,2693,438536,20690,335,2819,3204,46,2647,264,20,1236,47,281
vegetation,6479,92873,987490,113953,200949,173957,11232,19136,42101249,198811,1097653,8662,260,28224,1981,967,2150,411,1530
terrain,29342,285584,9385,41306,52220,9879,5,92,430444,1564930,910,775,8,3027,64,115,9,201,18
sky,10,304,214657,0,2874,45817,6204,8164,865245,0,56211425,0,0,531,244,1192,3032,0,0
person,2386,9414,17955,2058,1764,5772,15,567,14303,837,48,252050,95,6636,442,241,3255,158,135
rider,173,215,525,14,247,467,28,76,299,7,0,6145,6541,711,539,0,0,606,582
car,50286,7449,37252,3806,4417,8295,317,4072,24029,850,170,3882,69,3351664,14230,1966,2062,812,0
truck,5047,1124,25615,766,3718,2662,271,1217,6063,95,1022,357,0,35915,627167,1396,2494,0,0
bus,4233,410,8021,1136,3,3297,754,169,43906,2,5272,234,0,9200,1479,851316,4224,0,0
train,9217,277,20169,13,572,1724,286,658,3506,0,2641,901,0,30332,248,45,1213631,0,0
motorcycle,509,2228,2956,2627,786,467,0,0,5571,20,0,1179,494,11037,0,0,0,35782,1387
bicycle,477,11340,14016,1086,6859,2512,0,11,9388,138,0,1749,576,757,155,0,16,3889,104609
