dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.4982118987721371,0.02516639065087648,0.0,0.02516639065087648,0.019416157501697215,480045,0,480045,7365,12081,0,12081,143
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7177366442889603,0.022146705878104852,0.0,0.022146705878104852,0.04714475431606906,498494,0,498494,10542,11040,0,11040,497
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.8498932069812032,0.021609991393631286,0.0,0.021609991393631286,0.019358407079646017,499630,0,499630,1808,10797,0,10797,35
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.8219085904713317,0.01677601854398303,0.0,0.01677601854398303,0.031304499476805026,509060,0,509060,11468,8540,0,8540,359
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.753156221120961,0.026476011410265204,0.0,0.026476011410265204,0.0205007561754327,495694,0,495694,5951,13124,0,13124,122
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6279579252690817,0.014440468375315818,0.0,0.014440468375315818,0.02312517554536092,513349,0,513349,53405,7413,0,7413,1235
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.5750622723479416,0.02316818565062031,0.0,0.02316818565062031,0.06487769499571439,498140,0,498140,15167,11541,0,11541,984
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6076843097183343,0.0457431520452877,0.0,0.0457431520452877,0.021778366020936107,480837,0,480837,8311,21995,0,21995,181
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.5116234947491399,0.10491738419732007,0.0,0.10491738419732007,0.20856940509915015,480235,0,480235,11296,50385,0,50385,2356
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6326125145744707,0.03541290629573933,0.0,0.03541290629573933,0.01790633608815427,498067,0,498067,3630,17638,0,17638,65
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.7504380151425222,0.03836991429454356,0.0,0.03836991429454356,0.00931827172431981,511286,0,511286,22751,19618,0,19618,212
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.6988966933712769,0.0548756519307687,0.0,0.0548756519307687,0.003048780487804878,493534,0,493534,328,27083,0,27083,1
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.7184524100356132,0.038662044045119394,0.0,0.038662044045119394,0.07115135834411385,511975,0,511975,2319,19794,0,19794,165
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7250560313256602,0.0337158285521431,0.0,0.0337158285521431,0.06990881458966565,503710,0,503710,1316,16983,0,16983,92
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.760087266518703,0.06021923862980746,0.0,0.06021923862980746,0.12712623097582812,511315,0,511315,3351,30791,0,30791,426
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6762453389285902,0.07799482991027229,0.0,0.07799482991027229,0.010862516212710765,514111,0,514111,6168,40098,0,40098,67
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.6670852015368978,0.04944554214311808,0.0,0.04944554214311808,0.03300561797752809,509146,0,509146,2848,25175,0,25175,94
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6590013709819647,0.09426962713650429,0.0,0.09426962713650429,0.02201094034904923,508658,0,508658,7678,47951,0,47951,169
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.6879542324348406,0.056475468903655276,0.0,0.056475468903655276,0.023496240601503758,502342,0,502342,1064,28370,0,28370,25
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7887555849264949,0.031363990707834064,0.0,0.031363990707834064,0.2165087956698241,511829,0,511829,739,16053,0,16053,160
20,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000899_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000899_gt_labelTrainIds.png,fog,0.7334320157920362,0.03364543861146565,0.0,0.03364543861146565,0.008788657656910705,503783,0,503783,12061,16950,0,16950,106
21,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000904_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000904_gt_labelTrainIds.png,fog,0.5932437404101503,0.027880429990300368,0.0,0.027880429990300368,0.045371312309257374,498988,0,498988,9830,13912,0,13912,446
22,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000910_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000910_gt_labelTrainIds.png,fog,0.6822735184303371,0.030896297947812533,0.0,0.030896297947812533,0.010238122627401357,497859,0,497859,8693,15382,0,15382,89
23,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000916_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000916_gt_labelTrainIds.png,fog,0.7327820019255618,0.05167067447154992,0.0,0.05167067447154992,0.01664247701983551,499858,0,499858,10335,25828,0,25828,172
24,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000921_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000921_gt_labelTrainIds.png,fog,0.71862178490296,0.024945114765474046,0.0,0.024945114765474046,0.02961179044485525,501501,0,501501,58963,12510,0,12510,1746
25,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000926_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000926_gt_labelTrainIds.png,fog,0.6490677994967147,0.026586067610239312,0.0,0.026586067610239312,0.026903589524013415,499096,0,499096,14013,13269,0,13269,377
26,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000931_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000931_gt_labelTrainIds.png,fog,0.5011811445013402,0.027789615703889818,0.0,0.027789615703889818,0.12580522925350512,495113,0,495113,10556,13759,0,13759,1328
27,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000935_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000935_gt_labelTrainIds.png,fog,0.7460243301271244,0.02062912066089443,0.0,0.02062912066089443,0.005619950825430277,503560,0,503560,2847,10388,0,10388,16
