class_id,class,tp,fp,fn,iou,error_pixels
0,road,35116386,1000691,531360,0.9581960071039319,1532051
1,sidewalk,10527871,1025194,1377459,0.8141874992846384,2402653
2,building,29628008,2185595,1951986,0.8774616074370863,4137581
3,wall,2157059,872164,628984,0.5896492462017595,1501148
4,fence,1961299,686112,1325720,0.493640657707989,2011832
5,pole,1536297,472891,409992,0.6350486528493126,882883
6,traffic_light,307600,40172,49636,0.7740156212255415,89808
7,traffic_sign,443252,92127,129341,0.6668251293777832,221468
8,vegetation,41809157,2791270,3238810,0.8739511669051077,6030080
9,terrain,1603356,507465,824958,0.5461432893961023,1332423
10,sky,56397587,1761752,962112,0.9539276530949824,2723864
11,person,250623,58319,67508,0.6657537521583211,125827
12,rider,5501,1655,11674,0.29214020180562933,13329
13,car,3361642,296804,153986,0.8817578910259908,450790
14,truck,645945,43149,68984,0.8520825033835568,112133
15,bus,862578,20126,71078,0.9043764717723757,91204
16,train,1211870,54823,72350,0.9050269483504264,127173
17,motorcycle,37279,11519,27764,0.48691256759227813,39283
18,bicycle,111948,27504,45630,0.6048562258890654,73134
