gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35116386,400426,6868,8383,10122,7976,146,902,6032,12882,121,2953,48,56445,4320,5515,7777,186,258
sidewalk,818841,10527871,66793,107916,55134,23643,0,520,63841,192091,0,14221,108,19920,5673,96,295,638,7729
building,2455,40708,29628008,175219,95593,95322,9676,27130,983007,4424,415798,10264,179,44975,5730,6715,27251,800,6740
wall,33622,106003,163628,2157059,166328,15012,1,1484,106014,19075,1211,2106,36,12093,159,149,1472,305,286
fence,22710,57323,334216,418052,1961299,47672,582,15522,310875,60450,15317,1512,85,37414,533,578,128,1543,1208
pole,6254,27936,124241,9773,22897,1536297,11322,12184,126501,14470,37384,2952,23,9381,890,191,1549,266,1778
traffic_light,0,0,17695,7,10,11780,307600,1987,13077,0,4580,17,0,150,160,32,141,0,0
traffic_sign,2814,853,55739,1666,13137,21420,2184,443252,21518,472,2771,1571,0,3158,387,111,904,159,477
vegetation,8858,99576,1065617,108890,239664,168062,9667,19313,41809157,200695,1270292,8507,149,30887,2433,1145,1692,858,2505
terrain,37526,259725,37067,33315,56536,9432,5,134,382336,1603356,4955,718,4,2761,55,150,18,184,37
sky,24,323,198037,1,3728,50303,5486,9026,690657,0,56397587,0,0,532,362,1249,2384,0,0
person,3038,9394,18640,1816,1949,4377,19,797,11935,1621,50,250623,313,7843,758,237,3661,80,980
rider,200,200,588,87,522,474,0,61,511,6,0,6280,5501,774,550,0,0,665,756
car,45303,7120,33757,2415,6656,7713,183,1203,20376,1063,205,3322,37,3361642,19130,2590,1381,1476,56
truck,5171,1171,21404,556,3635,2622,214,1117,4604,141,1368,278,0,23105,645945,1304,2294,0,0
bus,4089,260,3555,1183,12,3254,514,195,39354,1,5013,233,31,8128,1430,862578,3826,0,0
train,8678,202,22912,13,2659,2232,173,524,3570,0,2687,822,0,27379,424,64,1211870,11,0
motorcycle,551,2374,2439,2219,1560,154,0,0,1089,22,0,1408,184,11070,0,0,0,37279,4694
bicycle,557,11600,12399,653,5970,1443,0,28,5973,52,0,1155,458,789,155,0,50,4348,111948
