dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.5057984488963682,0.025614265329292046,0.0,0.025614265329292046,0.01737949762389681,480045,0,480045,7365,12296,0,12296,128
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.6920508982823675,0.02262414392149153,0.0,0.02262414392149153,0.03927148548662493,498494,0,498494,10542,11278,0,11278,414
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.7820354050273971,0.023153133318655806,0.0,0.023153133318655806,0.02157079646017699,499630,0,499630,1808,11568,0,11568,39
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.748919923474194,0.017603033041291793,0.0,0.017603033041291793,0.03069410533658877,509060,0,509060,11468,8961,0,8961,352
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7044627272783739,0.025554071665180533,0.0,0.025554071665180533,0.024365652831456898,495694,0,495694,5951,12667,0,12667,145
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6314668975374649,0.012451568036559923,0.0,0.012451568036559923,0.023892893923789908,513349,0,513349,53405,6392,0,6392,1276
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.5303413399243182,0.02286907295137913,0.0,0.02286907295137913,0.05887782686094811,498140,0,498140,15167,11392,0,11392,893
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6530845435009378,0.046040550124054516,0.0,0.046040550124054516,0.01973288412946697,480837,0,480837,8311,22138,0,22138,164
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.5065735826616015,0.10452799150415942,0.0,0.10452799150415942,0.18572946175637395,480235,0,480235,11296,50198,0,50198,2098
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.655511068834631,0.03274057506319431,0.0,0.03274057506319431,0.01818181818181818,498067,0,498067,3630,16307,0,16307,66
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.7420761509110325,0.040388354071889315,0.0,0.040388354071889315,0.009625950507669992,511286,0,511286,22751,20650,0,20650,219
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.7002569009048213,0.05620281480100662,0.0,0.05620281480100662,0.003048780487804878,493534,0,493534,328,27738,0,27738,1
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.6117985778451445,0.04060745153571952,0.0,0.04060745153571952,0.06899525657611039,511975,0,511975,2319,20790,0,20790,160
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7215065586917523,0.0339123702130194,0.0,0.0339123702130194,0.09574468085106383,503710,0,503710,1316,17082,0,17082,126
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7639601711216643,0.05876025541984882,0.0,0.05876025541984882,0.15010444643390033,511315,0,511315,3351,30045,0,30045,503
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.663593940228635,0.08015195162134248,0.0,0.08015195162134248,0.011348897535667963,514111,0,514111,6168,41207,0,41207,70
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.681525297578881,0.04567255757680508,0.0,0.04567255757680508,0.050912921348314606,509146,0,509146,2848,23254,0,23254,145
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6631737107649782,0.07071549056537005,0.0,0.07071549056537005,0.02096900234436051,508658,0,508658,7678,35970,0,35970,161
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.6403850234731223,0.05626246660641555,0.0,0.05626246660641555,0.023496240601503758,502342,0,502342,1064,28263,0,28263,25
