class_id,class,tp,fp,fn,iou,error_pixels
0,road,35046459,896950,601287,0.9590026142234156,1498237
1,sidewalk,10612790,1082654,1292540,0.8171237352925597,2375194
2,building,29674785,2152139,1905209,0.8797186054021546,4057348
3,wall,2175913,793872,610130,0.6078113586495769,1404002
4,fence,2082233,721715,1204786,0.519424087504933,1926501
5,pole,1518023,454016,428266,0.6324292121209596,882282
6,traffic_light,306167,40985,51069,0.7688369021221885,92054
7,traffic_sign,436751,90668,135842,0.6584903981992006,226510
8,vegetation,42031865,3016311,3016102,0.8744927989972096,6032413
9,terrain,1648673,582549,779641,0.5475748979611493,1362190
10,sky,56141909,1407330,1217790,0.9553300542043737,2625120
11,person,258535,70860,59596,0.6646297729253376,130456
12,rider,6117,2322,11058,0.3137405754731497,13380
13,car,3368081,333360,147547,0.8750562485515673,480907
14,truck,617526,35708,97403,0.8226692795585616,133111
15,bus,856388,16566,77268,0.9012504446329385,93834
16,train,1213840,57200,70380,0.9048918310447138,127580
17,motorcycle,38553,8553,26490,0.5238464046959074,35043
18,bicycle,107138,19086,50440,0.6064506634062401,69526
