gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35046459,462657,6800,6833,14303,7900,73,1017,6126,15974,121,4083,50,57254,4011,5012,8407,415,251
sidewalk,733740,10612790,55518,105789,58499,25260,0,581,55591,203539,0,18190,71,21379,6544,65,223,929,6622
building,1958,43816,29674785,165422,109867,91477,9508,25109,1005291,5266,349374,11636,160,45245,3097,5906,26544,1192,4341
wall,25583,114797,139629,2175913,169235,16569,0,2248,99611,23929,5,2554,101,12546,38,64,2482,604,135
fence,18770,52199,339886,328485,2082233,47867,118,13857,292388,53797,10446,1276,248,41119,1261,166,112,1331,1460
pole,5403,26799,128177,11154,28205,1518023,12990,13103,127218,15967,40423,3505,46,11234,649,97,1651,207,1438
traffic_light,3,0,19719,17,69,10090,306167,1999,14357,0,4369,24,0,134,128,17,143,0,0
traffic_sign,2150,936,62056,1126,17506,19541,1771,436751,21096,414,2590,1562,0,3120,255,6,1188,136,389
vegetation,11247,106934,1039480,114521,245738,160737,8941,19655,42031865,262226,992134,9927,202,37537,1527,1115,1780,635,1766
terrain,31536,245059,15744,48608,47262,7057,5,160,378866,1648673,246,1236,8,3396,26,140,0,168,124
sky,6,353,222938,1,4571,47826,6205,8671,922727,0,56141909,3,0,447,244,1458,2339,0,1
person,1671,7333,17262,1654,1707,3660,31,906,12938,137,40,258535,345,7516,304,200,3295,220,377
rider,123,99,453,3,210,504,0,57,489,5,0,6625,6117,717,381,0,0,618,774
car,44279,6189,35067,3058,6760,6318,247,1575,18884,993,102,4435,57,3368081,15241,1089,1749,1280,224
truck,5088,1288,25933,1113,6922,2353,192,825,5298,208,1270,514,0,42081,617526,1216,3102,0,0
bus,5530,408,5185,2747,117,3064,731,133,38865,1,4356,449,78,9859,1566,856388,4179,0,0
train,9410,355,22592,0,2839,1786,173,732,3533,1,1854,1010,0,25759,321,15,1213840,0,0
motorcycle,129,2434,3221,1583,1269,159,0,0,1664,28,0,1505,462,12852,0,0,0,38553,1184
bicycle,324,10998,12479,1758,6636,1848,0,40,11369,64,0,2326,494,1165,115,0,6,818,107138
