class_id,class,tp,fp,fn,iou,error_pixels
0,road,35052075,842897,595671,0.9605770717715224,1438568
1,sidewalk,10709137,1133331,1196193,0.8213371756501684,2329524
2,building,29695660,2219303,1884334,0.8785880960778563,4103637
3,wall,2179121,909565,606922,0.589651553952692,1516487
4,fence,1927193,596542,1359826,0.49624378244605916,1956368
5,pole,1538783,470937,407506,0.6365904553401296,878443
6,traffic_light,304618,38064,52618,0.7705995446496332,90682
7,traffic_sign,441367,90743,131226,0.665374712061459,221969
8,vegetation,42045239,3041321,3002728,0.8743161054911023,6044049
9,terrain,1569398,483955,858916,0.5388918400051643,1342871
10,sky,56206958,1448556,1152741,0.95576646509916,2601297
11,person,251037,60476,67094,0.6630543016901431,127570
12,rider,6355,1907,10820,0.33303636935331726,12727
13,car,3354856,305079,160772,0.8780720426873875,465851
14,truck,627136,38214,87793,0.8326917995652884,126007
15,bus,867793,19703,65863,0.910247870948929,85566
16,train,1211432,65754,72788,0.8973743198017147,138542
17,motorcycle,37495,11342,27548,0.49086862603914383,38890
18,bicycle,104981,16267,52597,0.6038770168828554,68864
