gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35052075,463779,6916,8733,13545,9143,2,1057,5936,11118,85,3585,55,52989,4539,5881,7670,336,302
sidewalk,672578,10709137,59012,120160,47110,27930,0,525,65477,156082,0,14832,114,21373,4916,110,186,1001,4787
building,2282,44405,29695660,129201,95711,93434,9626,26173,1038342,4073,335892,10505,143,42310,5388,6471,34809,1333,4236
wall,27047,109414,163234,2179121,138800,15841,0,1688,110551,20363,54,2286,48,11363,88,5,5270,725,145
fence,24527,69123,351328,420534,1927193,50376,45,13208,320028,57160,7201,1344,113,41019,221,101,517,1711,1270
pole,5087,24741,125178,10906,21985,1538783,10908,12709,129408,14533,37036,2387,49,8649,953,117,1381,269,1210
traffic_light,3,0,19402,8,12,11197,304618,2377,15070,0,3970,18,0,179,198,27,157,0,0
traffic_sign,2305,803,60425,1867,13138,20669,1311,441367,21743,173,2826,1792,0,2361,430,43,756,156,428
vegetation,6452,105340,1049729,145851,194314,157644,9098,20280,42045239,217729,1050736,7585,276,29098,2307,1657,1592,714,2326
terrain,34290,285207,36140,59036,45827,8841,0,171,384312,1569398,1266,747,10,2584,30,146,0,217,92
sky,8,333,224675,1,3653,49722,6099,7851,856659,0,56206958,0,0,469,268,1310,1693,0,0
person,1999,7064,18134,3046,1687,6588,7,894,15604,1401,48,251037,339,6694,698,250,2043,209,389
rider,150,79,553,17,216,481,0,51,606,5,0,6130,6355,579,470,0,0,789,694
car,46528,7703,35581,3160,5973,8458,246,1651,24109,1094,198,3743,28,3354856,15487,2414,2711,1629,59
truck,4785,1105,22892,1015,3565,2529,257,1194,5573,144,1472,361,0,39060,627136,1131,2710,0,0
bus,4146,205,5115,762,0,2972,247,99,33099,6,4800,176,26,8201,1755,867793,4254,0,0
train,10045,234,24207,80,4057,2553,218,802,3903,0,2972,1191,0,22187,299,40,1211432,0,0
motorcycle,197,2076,2799,2378,1556,180,0,0,1100,18,0,1822,145,14948,0,0,0,37495,329
bicycle,468,11720,13983,2810,5393,2379,0,13,9801,56,0,1972,561,1016,167,0,5,2253,104981
