class_id,class,tp,fp,fn,iou,error_pixels
0,road,35060341,952666,587405,0.9579220310416178,1540071
1,sidewalk,10535491,1045507,1369839,0.8134988495338178,2415346
2,building,29695006,2145052,1884988,0.8805030540210382,4030040
3,wall,2189499,865383,596544,0.5996284739167657,1461927
4,fence,2016828,676631,1270191,0.5088310017282051,1946822
5,pole,1524863,490860,421426,0.6256749177009695,912286
6,traffic_light,306559,41425,50677,0.7689716325399274,92102
7,traffic_sign,445638,99004,126955,0.6635497180600867,225959
8,vegetation,41955030,2974889,3092937,0.873647123361426,6067826
9,terrain,1645419,624154,782895,0.5390454543667615,1407049
10,sky,56191875,1443409,1167824,0.9555936227044326,2611233
11,person,255591,68155,62540,0.6616626023205604,130695
12,rider,6683,3501,10492,0.3232249951634746,13993
13,car,3360948,328626,154680,0.8742783385280993,483306
14,truck,621890,33654,93039,0.8307562421267916,126693
15,bus,857400,19370,76256,0.8996606598350937,95626
16,train,1205896,52678,78324,0.9020104749951006,131002
17,motorcycle,37620,8179,27423,0.513780011471962,35602
18,bicycle,111994,26876,45584,0.6071649300096501,72460
