gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35060341,446240,5089,9580,13722,8842,143,1670,6310,17243,121,3688,85,54931,5590,5769,7588,437,357
sidewalk,784391,10535491,62857,114186,55583,26680,0,535,59731,210232,0,17916,131,23400,5457,91,219,1029,7401
building,2589,43368,29695006,166128,101285,103753,9513,26619,979586,5320,349603,11557,176,45291,3341,5964,22261,750,7884
wall,28349,104053,133573,2189499,159198,15554,1,2077,111532,23300,65,2693,83,10614,54,24,4374,669,331
fence,17154,53234,346837,380165,2016828,56750,34,16912,284632,60879,5819,1369,434,42351,76,343,231,1495,1476
pole,5611,25426,127370,11352,25414,1524863,13084,13147,127431,15833,38591,2880,50,10343,886,187,1872,211,1738
traffic_light,0,0,18715,2,11,10432,306559,2014,14478,0,4554,29,0,104,151,23,164,0,0
traffic_sign,2136,1060,54833,1337,13854,20054,1823,445638,21610,711,2883,1165,0,3063,208,478,1236,145,359
vegetation,7525,96983,1049376,124824,240423,168741,9132,19958,41955030,289209,1033702,9487,411,35095,2164,1163,1715,566,2463
terrain,28441,248099,14770,44877,42819,7407,5,278,390733,1645419,59,982,8,3972,53,95,0,229,68
sky,2,353,204047,8,3580,47568,6449,10504,890343,0,56191875,0,0,394,287,1519,2770,0,0
person,2027,7509,17837,2071,2075,6023,13,995,12423,169,40,255591,745,6839,392,237,2388,228,529
rider,124,64,441,11,235,485,0,57,274,5,0,6507,6683,680,352,0,0,608,649
car,51749,5732,35396,3037,6318,7574,282,2450,18208,1008,127,4462,58,3360948,13436,2173,1350,971,349
truck,4394,1104,27191,927,3542,2520,193,1093,4915,160,1279,418,0,41616,621890,1124,2534,0,29
bus,5146,436,8544,2709,22,3939,557,163,36929,4,4436,307,91,8321,680,857400,3972,0,0
train,12581,458,25106,12,2273,2392,196,494,3416,27,2130,1175,0,27434,450,180,1205896,0,0
motorcycle,139,1896,1839,1794,194,195,0,0,2609,18,0,1384,658,13454,0,0,0,37620,3243
bicycle,308,9492,11231,2363,6083,1951,0,38,9729,36,0,2136,571,724,77,0,4,841,111994
