class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,4488,148,4340,17027,0.00687892168254706,0.008617176128093158,0.03297682709447415,0.9913828238719068,8437,8378,0.993006993006993,0.37170305676855897
17,motorcycle,65043,29057,4723,24334,60320,0.05284357273123958,0.07261350183724613,0.16254258870495922,0.9273864981627539,20940,19902,0.9504297994269341,0.3909413772427471
18,bicycle,157578,93617,33529,60088,124049,0.15403875662712596,0.2127771643249692,0.3581507632160825,0.7872228356750308,45736,40728,0.8905020115445164,0.6064234855119369
14,truck,714929,675507,205793,469714,509136,0.1737173139924855,0.2878509614241414,0.30464969274929793,0.7121490385758585,59091,49726,0.8415156284374947,0.5015421111746761
11,person,318131,173332,92480,80852,225651,0.23178932435717814,0.2906978571720455,0.533542565712044,0.7093021428279546,111687,84736,0.7586917009141619,0.4984330354476615
4,fence,3287019,2552760,1322487,1230273,1964532,0.29276101699867974,0.4023362809889447,0.5180616274150331,0.5976637190110553,440898,322173,0.730720030483241,nan
7,traffic_sign,572593,450436,266972,183464,305621,0.35311094269347415,0.4662508972341611,0.5926968537150672,0.5337491027658389,203446,137713,0.6769019789034928,nan
15,bus,933656,703309,478123,225186,455533,0.4125868755188369,0.5120976033999675,0.6798192544102236,0.48790239660003254,48121,40451,0.8406101286340683,0.27902032440213526
3,wall,2786043,2417178,1511714,905464,1274329,0.40951134590832416,0.5426025370031977,0.6254045006201446,0.4573974629968023,475152,305944,0.6438865878708288,nan
9,terrain,2428314,2073671,1318481,755190,1109833,0.41416030889234,0.5429614950949506,0.6358197611868035,0.4570385049050493,554053,311169,0.5616231660148037,nan
6,traffic_light,357236,257991,205961,52030,151275,0.5032448334335127,0.5765404382537034,0.7983262982042009,0.42345956174629656,128307,78981,0.6155626738993196,nan
5,pole,1946289,1736012,1209501,526511,736788,0.48912204788094465,0.6214395703824047,0.6967123499146319,0.37856042961759534,1049108,468032,0.44612375465633664,nan
16,train,1284220,1098621,931557,167064,352663,0.6418847034763699,0.7253873946831539,0.8479329996422789,0.274612605316846,77111,48756,0.6322833318203629,0.17308249365373535
1,sidewalk,11905330,11918127,9637503,2280624,2267827,0.6793693959532083,0.8095116221053932,0.808642415037195,0.19048837789460688,1605707,633777,0.3947027695588298,nan
13,car,3515628,3608206,2922961,685245,592667,0.6957984685564167,0.831419308299968,0.8100870626566221,0.16858069170003198,515746,154558,0.2996785239245675,0.10679656664470757
2,building,31579994,32842883,28360571,4482312,3219423,0.7864325426111131,0.8980549837976537,0.8635225780879224,0.10194501620234633,2645654,731767,0.27659210161268255,nan
8,vegetation,45047967,45473210,40853616,4619594,4194351,0.8225412155833463,0.9068914475097178,0.8984106466202848,0.09310855249028219,4196802,1193381,0.2843548492399689,nan
0,road,35647746,36059960,34088378,1971582,1559368,0.9061400033514687,0.956256196394577,0.9453248977536304,0.043743803605422904,1169589,315783,0.2699948443427563,nan
10,sky,57359699,57756225,55784730,1971495,1574969,0.9402259796086355,0.9725422373642512,0.9658652379029273,0.02745776263574884,2422650,369758,0.15262543082987637,nan
