class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,5153,675,4478,16500,0.03117350944441879,0.039301310043668124,0.13099165534640014,0.9606986899563319,8437,8342,0.9887400734858361,0.3913828238719068
17,motorcycle,65043,36936,7036,29900,58007,0.07410762246821777,0.10817459219285704,0.19049166125189518,0.8918254078071429,20940,19594,0.9357211079274117,0.39862859954184154
18,bicycle,157578,98868,44816,54052,112762,0.21176581770070405,0.28440518346469684,0.4532912570295748,0.7155948165353031,45736,38034,0.8315987405982158,0.569191130741601
11,person,318131,177396,98023,79373,220108,0.24659626066655932,0.3081214971191113,0.552566010507565,0.6918785028808887,111687,83626,0.748753212101677,0.4652014421731928
14,truck,714929,629687,225649,404038,489280,0.20165831521394287,0.3156243487115504,0.3583510537775117,0.6843756512884496,59091,50498,0.8545802237227327,0.49123059772369004
4,fence,3287019,2689971,1327150,1362821,1959869,0.28541842299950104,0.40375489159022204,0.49336963112241733,0.596245108409778,440898,312118,0.707914302174199,nan
15,bus,933656,673721,439620,234101,494036,0.3764653091353766,0.4708586460109505,0.6525253035010041,0.5291413539890495,48121,39149,0.8135533343031109,0.27897105572073655
7,traffic_sign,572593,446419,270943,175476,301650,0.3621898514709205,0.47318601519753123,0.6069253324791284,0.5268139848024688,203446,136842,0.6726207445710409,nan
3,wall,2786043,2638154,1560248,1077906,1225795,0.4037962198776433,0.5600229429337594,0.5914165738618746,0.4399770570662405,475152,285335,0.6005130989662255,nan
9,terrain,2428314,2287190,1391447,895743,1036867,0.4185990192105611,0.573009503713276,0.608365286661799,0.42699049628672403,554053,296791,0.5356725800600304,nan
6,traffic_light,357236,271256,217729,53527,139507,0.5300599128938098,0.6094822470299746,0.8026698026956086,0.39051775297002544,128307,74256,0.5787369356309476,nan
5,pole,1946289,1729702,1196459,533243,749830,0.48253420403527764,0.6147386128164933,0.6917139484142355,0.38526138718350667,1049108,466702,0.4448560110112591,nan
16,train,1284220,1182438,979043,203395,305177,0.6581292874836567,0.7623639251841585,0.827986752793804,0.23763607481584154,77111,46176,0.5988250703531273,0.15021258039899707
1,sidewalk,11905330,11854155,9639241,2214914,2266089,0.6826539966306531,0.8096576071389874,0.8131529408886589,0.19034239286101268,1605707,607343,0.3782402393462817,nan
13,car,3515628,3711534,2977026,734508,538602,0.7004542913450299,0.8467977840658909,0.8021012336139182,0.15320221593410907,515746,154761,0.3000721285283841,0.09816283178993909
2,building,31579994,32091133,28005687,4085446,3574307,0.7852331837207112,0.8868173629165351,0.872692372687496,0.11318263708346493,2645654,810133,0.3062127549558635,nan
8,vegetation,45047967,46031682,41025052,5006630,4022915,0.819606079337728,0.9106970798482427,0.8912351280146574,0.08930292015175735,4196802,1105159,0.2633336049687357,nan
0,road,35647746,35915950,34052780,1863170,1594966,0.9078098759305158,0.9552575918825275,0.9481241621062508,0.044742408117472564,1169589,354071,0.30273113033723814,nan
10,sky,57359699,57453245,55598320,1854925,1761379,0.938928870003464,0.9692923946480263,0.9677141822015449,0.030707605351973692,2422650,428715,0.1769611788743731,nan
