gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,34088378,1186260,20990,40419,26712,12165,0,1282,18394,36796,6215,2206,481,128578,40821,16350,19772,504,1423
1,sidewalk,1512190,9637503,55144,140975,81650,35297,0,2189,124463,249682,250,5778,91,45403,3072,799,927,1267,8650
2,building,25160,97092,28360571,214947,351525,143828,12990,62808,1505150,7988,528093,12697,0,80885,70197,59729,43873,209,2252
3,wall,60447,261975,319352,1511714,246392,24250,26,2905,285836,34312,5237,2797,54,18193,2528,5625,236,362,3802
4,fence,49282,99338,732708,280318,1322487,43477,1009,19368,532112,60104,15694,4506,57,50565,61046,4769,2629,448,7102
5,pole,18873,38155,274214,17310,32706,1209501,7933,18573,219274,13253,50582,8891,30,16492,10016,1257,4952,477,3800
6,traffic_light,0,0,69113,34,911,19513,205961,17466,34482,0,7675,350,94,326,476,72,763,0,0
7,traffic_sign,5339,7177,157896,3389,8839,32803,10453,266972,50241,606,5460,4559,138,6267,6092,862,3075,281,2144
8,vegetation,29090,120532,1705573,135815,315515,130618,11323,22825,40853616,343473,1298596,8850,293,55582,4423,1366,4674,1928,3875
9,terrain,77081,395788,37167,36657,60330,9855,1,107,474983,1318481,5107,495,0,9546,172,74,75,151,2244
10,sky,34943,1892,340325,0,5050,26099,4246,4414,1151321,0,55784730,381,0,2407,898,433,2559,1,0
11,person,3689,13998,51097,8749,6001,13850,377,7615,51935,1234,22,92480,2193,34235,10130,6642,4563,2228,7093
12,rider,500,1239,2675,0,28,527,0,24,1391,0,0,5040,148,3546,932,13,0,576,536
13,car,106157,24960,110324,13138,39342,11980,363,2000,63198,3297,698,9143,798,2922961,151288,32713,7272,9348,6648
14,truck,15290,2865,248878,2833,12101,4170,331,17830,17550,48,36671,1771,50,114805,205793,21837,12103,0,3
15,bus,11599,273,168305,993,14982,8313,464,1334,47605,16,6625,1469,33,53702,80229,478123,59590,0,1
16,train,20563,7775,166806,164,2439,7117,2514,1946,8357,25,4570,297,0,32592,24853,72645,931557,0,0
17,motorcycle,615,2156,6791,2114,5519,341,0,18,6301,1573,0,5036,12,17218,2110,0,1,4723,10515
18,bicycle,764,19149,14954,7609,20231,2308,0,760,27001,2783,0,6586,16,14903,431,0,0,6554,33529
