gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,34052780,1212205,13192,47475,27220,12209,4,2314,18916,65375,5351,1645,410,123227,20719,16594,25291,1093,1726
1,sidewalk,1415558,9639241,59451,206613,84245,30480,0,1050,115849,291874,563,4657,21,43926,1710,521,686,1725,7160
2,building,28491,101861,28005687,269436,351959,147629,10853,62121,1777294,13206,500532,14410,48,102536,61941,83714,44376,61,3839
3,wall,51367,243460,300368,1560248,267188,20013,0,2563,261217,36416,3757,3433,0,17772,5220,5399,807,1059,5756
4,fence,40021,94971,681191,282938,1327150,38507,637,18288,550914,74551,16885,6091,33,73907,64230,10180,2113,207,4205
5,pole,16582,36865,280815,17425,39296,1196459,7523,19417,221699,15981,47556,6593,99,16337,8287,2193,8349,913,3900
6,traffic_light,0,0,64866,6,670,19111,217729,13065,33606,0,6657,75,0,565,324,80,482,0,0
7,traffic_sign,5012,7711,146706,3812,13050,34398,11206,270943,52410,128,6226,5244,810,5806,2841,1970,2850,191,1279
8,vegetation,28988,102529,1466384,158400,381980,147063,16558,23840,41025052,390351,1225356,12572,727,51024,7016,2193,2463,615,4856
9,terrain,67146,348323,36104,51627,62141,12138,0,19,444345,1391447,3193,378,0,10064,94,32,1,167,1095
10,sky,43309,778,356441,135,2424,30521,4076,4605,1314501,144,55598320,86,0,888,577,512,2382,0,0
11,person,4398,17477,46627,6463,12119,13577,362,4571,41933,442,26,98023,1479,42322,6983,2736,7440,2470,8683
12,rider,311,1844,1673,6,217,908,2,98,1660,3,0,4837,675,3217,500,9,13,251,951
13,car,96987,22023,98958,11407,37545,9480,110,3133,61704,3331,426,5819,672,2977026,131515,27077,7148,16383,4884
14,truck,19390,1640,233719,2924,30496,2627,428,16656,22628,57,20630,1318,0,114764,225649,14531,7454,18,0
15,bus,14627,677,145765,3217,24700,7860,547,1129,48705,22,13214,1249,2,66318,74458,439620,91539,0,7
16,train,27669,2646,133536,2230,4104,4761,1221,2380,9805,1,4553,101,0,28316,17489,66360,979043,0,5
17,motorcycle,1479,2383,5301,2122,6185,348,0,5,6824,1281,0,4524,175,21547,127,0,0,7036,5706
18,bicycle,1835,17521,14349,11670,17282,1613,0,222,22620,2580,0,6341,2,11972,7,0,1,4747,44816
