category,rank,dataset_index,condition,image_path,visualization_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_miou,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/baseline/examples/worst_miou/01_idx00155_miou0.1605_err0.4613_GOPR0351_frame_000825_rgb_anon.png,0.16050507314749982,0.4613198594475365,0.6868353891960868,0.16062616981453123
worst_miou,2,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/baseline/examples/worst_miou/02_idx00154_miou0.1628_err0.4432_GOPR0351_frame_000822_rgb_anon.png,0.16281931560940713,0.44316670763453503,0.624800779174783,0.3885634588563459
worst_miou,3,133,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000132_rgb_anon.png,outputs/analysis/baseline/examples/worst_miou/03_idx00133_miou0.1658_err0.2747_GOPR0351_frame_000132_rgb_anon.png,0.1658333757377616,0.2746630727762803,0.5660301940165421,0.34307786849266964
worst_miou,4,135,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000143_rgb_anon.png,outputs/analysis/baseline/examples/worst_miou/04_idx00135_miou0.1778_err0.2173_GOPR0351_frame_000143_rgb_anon.png,0.1777926799128787,0.21726374365132103,0.5287224099503919,0.5132075471698113
worst_miou,5,134,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000141_rgb_anon.png,outputs/analysis/baseline/examples/worst_miou/05_idx00134_miou0.2004_err0.2066_GOPR0351_frame_000141_rgb_anon.png,0.20039040394901014,0.20664451160128913,0.5928627502289677,0.48710948566719037
best_miou,1,401,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000629_rgb_anon.png,outputs/analysis/baseline/examples/best_miou/01_idx00401_miou0.6550_err0.0373_GP030176_frame_000629_rgb_anon.png,0.6549505504013607,0.03731387931949551,0.26721935580824524,0.03375182732823115
best_miou,2,19,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,outputs/analysis/baseline/examples/best_miou/02_idx00019_miou0.6359_err0.0518_GOPR0476_frame_000894_rgb_anon.png,0.6359054497721791,0.05178682724112936,0.24925402469312274,0.28416779431664413
best_miou,3,69,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000142_rgb_anon.png,outputs/analysis/baseline/examples/best_miou/03_idx00069_miou0.6342_err0.0683_GP010476_frame_000142_rgb_anon.png,0.6342146973009934,0.06830208508664255,0.2880214216978369,0.015544041450777202
best_miou,4,237,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GOPR0402/GOPR0402_frame_000457_rgb_anon.png,outputs/analysis/baseline/examples/best_miou/04_idx00237_miou0.6172_err0.0512_GOPR0402_frame_000457_rgb_anon.png,0.6172036426805302,0.05118626230775056,0.267766849068366,0.05908163895927322
best_miou,5,85,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP020475/GP020475_frame_000119_rgb_anon.png,outputs/analysis/baseline/examples/best_miou/05_idx00085_miou0.6129_err0.0413_GP020475_frame_000119_rgb_anon.png,0.6128981839918888,0.04126092065600572,0.23885782747603834,0.3702021349080173
