dataset_index,condition,image_path,label_path,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,0.37642557474403,0.052867960295388976,0.277009507346586,0.04151628894409122,0.019144602851323828,480045,23140,456905,7365,25379,6410,18969,141
1,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,0.5571055606979357,0.049001592797506086,0.2702928388378589,0.032430217890526455,0.06080440144185164,498494,34729,463765,10542,24427,9387,15040,641
2,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,0.5473138943770308,0.042089145968016335,0.24197225916777504,0.028603659422457333,0.09015486725663717,499630,31578,468052,1808,21029,7641,13388,163
3,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,0.5767653026744062,0.0599123875378148,0.2643938076187163,0.04504958214452784,0.0476107429368678,509060,34494,474566,11468,30499,9120,21379,546
4,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,0.5980306057724671,0.033393585558832664,0.19043437964927684,0.019232757047062524,0.06721559401781213,495694,41001,454693,5951,16553,7808,8745,400
5,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,0.4072184421846926,0.16328073104262403,0.4527961043041156,0.14817016305071892,0.1481134725212995,513349,25464,487885,53405,83820,11530,72290,7910
6,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,0.47671117893634707,0.046328341430120046,0.2588104810758353,0.029744089163014662,0.07773455528449924,498140,36065,462075,15167,23078,9334,13744,1179
7,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,0.3883142000488035,0.09733028032368557,0.3445655323037151,0.07188404600358743,0.047647695824810495,480837,44871,435966,8311,46800,15461,31339,396
8,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,0.3266221735913755,0.1333159807177736,0.33618085708891826,0.11368271521197464,0.25991501416430596,480235,42376,437859,11296,64023,14246,49777,2936
9,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,0.4758963879299673,0.06662758223291244,0.2800481688202462,0.04157926734881133,0.12727272727272726,498067,52316,445751,3630,33185,14651,18534,462
