dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.3528541444502467,0.0471184993073566,0.2625324114088159,0.03620883991201672,0.010183299389002037,480045,23140,456905,7365,22619,6075,16544,75
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.47382883750497234,0.058799102897928564,0.27567738777390655,0.04255819218785376,0.07342060330108138,498494,34729,463765,10542,29311,9574,19737,774
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.5562003799620117,0.03878269919740608,0.2481474444233327,0.02465751668618017,0.07632743362831858,499630,31578,468052,1808,19377,7836,11541,138
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.5303495939145586,0.048797784151180607,0.283614541659419,0.031730043871663796,0.0603418207185211,509060,34494,474566,11468,24841,9783,15058,692
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.5278730512200338,0.03853183617312293,0.21006804712080193,0.023063913453692932,0.06015795664594186,495694,41001,454693,5951,19100,8613,10487,358
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.43434436724943865,0.12863763248783966,0.4400329877474081,0.11238509074884451,0.10360453141091658,513349,25464,487885,53405,66036,11205,54831,5533
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.3874044101782585,0.06778415706427912,0.2619159850270345,0.052632148460747714,0.07773455528449924,498140,36065,462075,15167,33766,9446,24320,1179
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.41266468328611516,0.08335257062164517,0.33961801609057074,0.05697692021854915,0.03693899651064854,480837,44871,435966,8311,40079,15239,24840,307
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.35686123757630095,0.14255728966027048,0.3451245988295262,0.12295282271233433,0.27425637393767704,480235,42376,437859,11296,68461,14625,53836,3098
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.4836112021656662,0.0670773209226871,0.2846165608991513,0.04154561627455687,0.11680440771349862,498067,52316,445751,3630,33409,14890,18519,424
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.45222613665303435,0.06946992485614704,0.33114295329354043,0.03698768982492244,0.011823656103028438,511286,56459,454827,22751,35519,18696,16823,269
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.5049637234378774,0.09877131058853088,0.3443500962172491,0.05524028977417746,0.003048780487804878,493534,74311,419223,328,48747,25589,23158,1
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.5757058929972,0.086070608916451,0.32532842310489424,0.051505762851292505,0.1931867184131091,511975,64627,447348,2319,44066,21025,23041,448
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.5439780065838391,0.04250461575112664,0.2965712876171682,0.02026685666170089,0.19832826747720364,503710,40540,463170,1316,21410,12023,9387,261
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.585878075203195,0.09440560124385164,0.3504993032977241,0.06561614122264453,0.26201133989853775,511315,51672,459643,3351,48271,18111,30160,878
