gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,2,building,1705573,0.037861264638202205
1,sidewalk,0,road,1512190,0.12701789870587377
2,building,8,vegetation,1505150,0.04766150367222996
8,vegetation,10,sky,1298596,0.028826961269972515
0,road,1,sidewalk,1186260,0.033277279298388175
10,sky,8,vegetation,1151321,0.020071949819680888
4,fence,2,building,732708,0.22290957247280896
4,fence,8,vegetation,532112,0.16188284886701293
2,building,10,sky,528093,0.01672239076422877
9,terrain,8,vegetation,474983,0.19560196910284255
9,terrain,1,sidewalk,395788,0.16298880622522458
2,building,4,fence,351525,0.011131256073069551
8,vegetation,9,terrain,343473,0.007624606011632001
10,sky,2,building,340325,0.00593317269673957
3,wall,2,building,319352,0.11462565366004761
8,vegetation,4,fence,315515,0.007003978670114014
3,wall,8,vegetation,285836,0.10259568858054237
4,fence,3,wall,280318,0.08528031021420929
5,pole,2,building,274214,0.1408906899232334
3,wall,1,sidewalk,261975,0.0940312120092906
1,sidewalk,9,terrain,249682,0.020972287202454698
14,truck,2,building,248878,0.34811568701227674
3,wall,4,fence,246392,0.08843797457541036
5,pole,8,vegetation,219274,0.11266261074280336
2,building,3,wall,214947,0.0068064294122411806
15,bus,2,building,168305,0.18026446571328197
16,train,2,building,166806,0.1298889598355422
7,traffic_sign,2,building,157896,0.2757560780519496
13,car,14,truck,151288,0.04303299438962257
2,building,5,pole,143828,0.004554402385256944
