class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,9900,6640,3260,10535,0.3249327134817715,0.386608442503639,0.6707070707070707,0.613391557496361,8437,5332,0.6319781913002251,0.11126637554585153
17,motorcycle,65043,48130,38301,9829,26742,0.5115530505395876,0.5888566025552326,0.7957822563889466,0.4111433974447673,20940,10636,0.50792741165234,0.17818981289300925
4,fence,3287019,2651193,2007487,643706,1279532,0.5107167252860477,0.6107317907197981,0.7572013806614607,0.3892682092802019,440898,242056,0.5490067997586744,nan
18,bicycle,157578,126822,105390,21432,52188,0.5887380593262946,0.668811636142101,0.8310072384917443,0.33118836385789896,45736,25706,0.5620517754066818,0.2989630532180888
9,terrain,2428314,2253067,1637377,615690,790937,0.5379023812058066,0.6742855330900369,0.7267324939737699,0.32571446690996303,554053,245967,0.4439412835956127,nan
7,traffic_sign,572593,538776,435234,103542,137359,0.6437087268075162,0.760110584656117,0.8078199474364114,0.239889415343883,203446,70526,0.34665709819804763,nan
11,person,318131,302389,245665,56724,72466,0.6553600725613904,0.7722133335009792,0.8124138113489578,0.22778666649902085,111687,35519,0.31802268840599174,0.18760824943183782
3,wall,2786043,3062504,2185365,877139,600678,0.5965756001203325,0.78439744110195,0.7135876393957363,0.21560255889805002,475152,201536,0.4241505876014412,nan
5,pole,1946289,2122593,1573752,548841,372537,0.6307294609900085,0.8085911187906832,0.7414289974573552,0.19140888120931682,1049108,278211,0.2651881407824552,nan
6,traffic_light,357236,359480,310229,49251,47007,0.763195378942008,0.8684147174416912,0.8629937687771225,0.13158528255830879,128307,33659,0.262331751190504,nan
14,truck,714929,657729,622669,35060,92260,0.8302375101501489,0.8709522204302805,0.9466953714979878,0.12904777956971952,59091,31529,0.5335668714355825,0.07296109124122815
1,sidewalk,11905330,11635390,10593344,1042046,1311986,0.8181846267537144,0.8897984348186905,0.9104416783623067,0.11020156518130955,1605707,568386,0.3539786523942413,nan
15,bus,933656,860434,839224,21210,94432,0.8788919073461616,0.8988578234381828,0.975349649130555,0.1011421765618172,48121,20379,0.4234949398391555,0.08418089746116343
8,vegetation,45047967,44494689,41709635,2785054,3338332,0.8719841257778805,0.9258938366741389,0.9374070464904249,0.07410616332586108,4196802,1033630,0.2462899131290921,nan
2,building,31579994,31714347,29612937,2101410,1967057,0.8792073216425301,0.9377119261010626,0.9337394523683555,0.06228807389893741,2645654,712130,0.2691697402608202,nan
16,train,1284220,1268823,1214321,54502,69899,0.9070748071668352,0.9455708523461712,0.9570452301069574,0.05442914765382878,77111,26270,0.3406777243194875,0.034413106788556476
13,car,3515628,3674687,3361577,313110,154051,0.877985644355921,0.9561810862810286,0.9147927428921158,0.043818913718971404,515746,88604,0.1717977454018063,0.03484270804533358
10,sky,57359699,58175034,56391701,1783333,967998,0.9534800481652682,0.9831240746224976,0.9693453896391363,0.016875925377502418,2422650,453310,0.18711328503911007,nan
0,road,35647746,35968603,35081238,887365,566508,0.9602061425241051,0.9841081677366081,0.9753294560814608,0.015891832263391914,1169589,270207,0.23102730959336998,nan
