gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,35081238,425625,7607,5636,10539,9391,98,1470,4722,21704,121,2885,99,58631,3881,5311,8175,216,397
1,sidewalk,721893,10593344,50930,120180,50930,30117,0,1647,56624,236988,0,9279,139,22817,3072,116,218,1220,5816
2,building,2763,46047,29612937,174378,97908,113315,12047,28234,1014780,4848,382329,11380,323,39399,3767,6101,24372,1056,4010
3,wall,30087,101374,134707,2185365,149166,23630,18,2885,118144,22678,43,2393,133,14392,78,4,206,615,125
4,fence,26097,65406,308916,372138,2007487,51917,1953,16200,320821,61166,8510,1440,154,39974,974,227,96,1865,1678
5,pole,5117,23280,107847,10206,22450,1573752,13784,13521,108900,15883,37564,2046,65,7937,651,117,1603,250,1316
6,traffic_light,1,0,15271,9,15,12438,310229,1683,12918,0,4202,4,0,215,102,20,129,0,0
7,traffic_sign,3550,1323,60639,1867,12232,25361,2459,435234,20593,600,2783,1181,10,2922,213,3,1099,93,431
8,vegetation,5257,97178,1031332,129685,221881,189556,10919,20349,41709635,248212,1334536,9283,326,32311,2250,1358,1982,359,1558
9,terrain,28638,248689,14878,53128,46953,9927,3,85,376785,1637377,4992,795,13,5610,23,217,11,134,56
10,sky,1,344,237360,27,4212,52968,6432,11380,648706,0,56391701,0,0,609,169,1679,4111,0,0
11,person,4697,10239,15298,1788,2599,8425,22,1794,12584,2174,64,245665,789,6350,359,241,4350,352,341
12,rider,121,118,468,16,228,480,0,78,370,14,18,5912,6640,756,501,0,0,769,686
13,car,39897,6158,34063,2650,5065,10270,196,1134,21995,911,155,4875,70,3361577,17484,4771,2481,1794,82
14,truck,4979,1232,26465,769,7691,2666,291,1327,5368,214,1160,278,0,37025,622669,1000,1792,0,3
15,bus,4257,162,19472,1160,39,3133,798,117,45532,0,3926,295,19,10681,964,839224,3877,0,0
16,train,9253,336,19435,12,4008,2677,231,1587,3725,0,2930,687,1,24536,418,45,1214321,18,0
17,motorcycle,381,2923,2296,2686,198,284,0,19,2762,41,0,1713,297,8204,5,0,0,38301,4933
18,bicycle,376,11612,14426,804,7592,2286,0,32,9725,257,0,2278,822,741,149,0,0,1088,105390
