category,rank,dataset_index,condition,image_path,visualization_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_miou,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/worst_miou/01_idx00155_miou0.2556_err0.3880_GOPR0351_frame_000825_rgb_anon.png,0.2556060354395233,0.3879684013439688,0.619488161066213,0.23379275140377745
worst_miou,2,205,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/worst_miou/02_idx00205_miou0.2701_err0.2024_GOPR0356_frame_000488_rgb_anon.png,0.27007685467378423,0.20240828714700448,0.4895716874204865,1.0
worst_miou,3,157,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000324_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/worst_miou/03_idx00157_miou0.3050_err0.1355_GOPR0356_frame_000324_rgb_anon.png,0.30499090492636377,0.13548037034875302,0.4686960768354224,0.07553956834532374
worst_miou,4,193,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000452_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/worst_miou/04_idx00193_miou0.3119_err0.2055_GOPR0356_frame_000452_rgb_anon.png,0.3119413175571869,0.20551282360235112,0.5180989067014106,0.7422806481198411
worst_miou,5,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/worst_miou/05_idx00154_miou0.3184_err0.2969_GOPR0351_frame_000822_rgb_anon.png,0.31843564349867715,0.296866994607049,0.5305471931999292,0.4490934449093445
best_miou,1,399,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000589_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/best_miou/01_idx00399_miou0.9397_err0.0216_GP030176_frame_000589_rgb_anon.png,0.939692756772155,0.021563971818924915,0.19465702747733754,0.027140242185299916
best_miou,2,69,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000142_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/best_miou/02_idx00069_miou0.9076_err0.0297_GP010476_frame_000142_rgb_anon.png,0.9076379123059628,0.029669071009536634,0.234383498598385,0.03626943005181347
best_miou,3,4,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/best_miou/03_idx00004_miou0.8827_err0.0200_GOPR0476_frame_000788_rgb_anon.png,0.8826524112413349,0.02001638107380763,0.16602034096729348,0.02570996471181314
best_miou,4,281,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GP020402/GP020402_frame_000898_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/best_miou/04_idx00281_miou0.8632_err0.0401_GP020402_frame_000898_rgb_anon.png,0.8631847995306379,0.04006389874861739,0.254064931098295,0.010433481633135162
best_miou,5,68,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000137_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/best_miou/05_idx00068_miou0.8504_err0.0312_GP010476_frame_000137_rgb_anon.png,0.8503976653389973,0.03118735612355975,0.2311615177112253,0.23843654434250763
highest_pixel_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/highest_pixel_error/01_idx00155_miou0.2556_err0.3880_GOPR0351_frame_000825_rgb_anon.png,0.2556060354395233,0.3879684013439688,0.619488161066213,0.23379275140377745
highest_pixel_error,2,203,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/highest_pixel_error/02_idx00203_miou0.3925_err0.3112_GOPR0356_frame_000482_rgb_anon.png,0.39251252754752847,0.3112101993939217,0.47943920362745607,nan
highest_pixel_error,3,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/highest_pixel_error/03_idx00154_miou0.3184_err0.2969_GOPR0351_frame_000822_rgb_anon.png,0.31843564349867715,0.296866994607049,0.5305471931999292,0.4490934449093445
highest_pixel_error,4,180,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000398_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/highest_pixel_error/04_idx00180_miou0.4249_err0.2781_GOPR0356_frame_000398_rgb_anon.png,0.4249353568364373,0.27812390222897093,0.5085448265505331,0.7657992565055762
highest_pixel_error,5,161,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000336_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/highest_pixel_error/05_idx00161_miou0.3404_err0.2182_GOPR0356_frame_000336_rgb_anon.png,0.34035325935825145,0.21815243100617032,0.4731247993722581,0.6975837879968823
highest_boundary_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/clahe/examples/highest_boundary_error/01_idx00155_miou0.2556_err0.3880_GOPR0351_frame_000825_rgb_anon.png,0.2556060354395233,0.3879684013439688,0.619488161066213,0.23379275140377745
