dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.5061282141750701,0.02490599839598371,0.24006050129645634,0.01400947680590057,0.017515274949083504,480045,23140,456905,7365,11956,5555,6401,129
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7228540326337074,0.024766596990134285,0.23311929511359383,0.009164124071458606,0.03642572566875356,498494,34729,463765,10542,12346,8096,4250,384
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.6946645026996305,0.02236254828573144,0.2298118943568307,0.008366591746216233,0.024889380530973452,499630,31578,468052,1808,11173,7257,3916,45
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7473220682605984,0.01788787176364279,0.2081521424015771,0.00405844497920205,0.03069410533658877,509060,34494,474566,11468,9106,7180,1926,352
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.8826524112413349,0.02001638107380763,0.16602034096729348,0.006850776238033134,0.02570996471181314,495694,41001,454693,5951,9922,6807,3115,153
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6355944708874333,0.01296583805559181,0.2048774740810556,0.002949465550283366,0.02123396685703586,513349,25464,487885,53405,6656,5217,1439,1134
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.4368201571770371,0.02205805596820171,0.2235962844863441,0.0063279770600010825,0.06316344695720973,498140,36065,462075,15167,10988,8064,2924,958
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.684332886185453,0.0438339811620154,0.24898041051012904,0.022719661624989104,0.022019010949344244,480837,44871,435966,8311,21077,11172,9905,183
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.50761068654353,0.09281289368746551,0.28870115159524257,0.07385482541183348,0.2075070821529745,480235,42376,437859,11296,44572,12234,32338,2344
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6579053378608022,0.03268234996496455,0.224711369370747,0.010144677185244677,0.014600550964187328,498067,52316,445751,3630,16278,11756,4522,53
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.6820816645435882,0.04137214787809563,0.2595511787314689,0.014288949424726324,0.00769196958375456,511286,56459,454827,22751,21153,14654,6499,175
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.5963697725341651,0.05693630023463429,0.2830267389753872,0.01685976198824969,0.009146341463414634,493534,74311,419223,328,28100,21032,7068,3
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.7263358038184919,0.038896430489770005,0.2414934934315379,0.009627851247798134,0.10694264769297111,511975,64627,447348,2319,19914,15607,4307,248
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7208624770007127,0.03288995652260229,0.25772076961026147,0.013211131981777749,0.08890577507598785,503710,40540,463170,1316,16567,10448,6119,117
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7635656720543422,0.059900452754173064,0.2764553336429788,0.035555855305095474,0.11727842435094002,511315,51672,459643,3351,30628,14285,16343,393
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6767117467367811,0.07955674941792726,0.26205653329368694,0.05822264513297792,0.010538261997405967,514111,53809,460302,6168,40901,14101,26800,65
