gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,10,sky,1334536,0.029624777517706848
8,vegetation,2,building,1031332,0.0228940853202099
2,building,8,vegetation,1014780,0.03213363498422451
1,sidewalk,0,road,721893,0.06063611844442783
10,sky,8,vegetation,648706,0.011309438705387906
0,road,1,sidewalk,425625,0.011939745082339848
2,building,10,sky,382329,0.012106683744145107
9,terrain,8,vegetation,376785,0.15516321200635502
4,fence,3,wall,372138,0.11321443532878879
4,fence,8,vegetation,320821,0.09760241726622207
4,fence,2,building,308916,0.09398059457520629
9,terrain,1,sidewalk,248689,0.10241220863529181
8,vegetation,9,terrain,248212,0.005509948983935279
10,sky,2,building,237360,0.004138097028716974
1,sidewalk,9,terrain,236988,0.019906042083671766
8,vegetation,4,fence,221881,0.004925438699597697
8,vegetation,5,pole,189556,0.004207870246397579
2,building,3,wall,174378,0.005521786989573209
3,wall,4,fence,149166,0.053540451457497244
3,wall,2,building,134707,0.0483506535972345
8,vegetation,3,wall,129685,0.0028788202584147694
1,sidewalk,3,wall,120180,0.010094638283861094
3,wall,8,vegetation,118144,0.04240566279845645
2,building,5,pole,113315,0.003588189408775695
5,pole,8,vegetation,108900,0.055952636016542254
5,pole,2,building,107847,0.05541160639555585
3,wall,1,sidewalk,101374,0.03638637307464386
2,building,4,fence,97908,0.0031003172451521048
8,vegetation,1,sidewalk,97178,0.0021572116672878934
4,fence,1,sidewalk,65406,0.019898272568549192
