class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,8659,5907,2752,11268,0.29643197671500976,0.3439301310043668,0.6821803903453054,0.6560698689956332,8437,5728,0.6789143060329501,0.09973799126637554
17,motorcycle,65043,65691,42323,23368,22720,0.4787074006628135,0.6506926187291484,0.6442739492472332,0.3493073812708516,20940,9209,0.4397803247373448,0.13515674246267853
9,terrain,2428314,2070290,1593058,477232,835256,0.5482818031447446,0.6560345984909695,0.76948543440774,0.34396540150903054,554053,260838,0.4707816761212375,nan
4,fence,3287019,3116874,2273473,843401,1013546,0.5504217488778381,0.6916519192617993,0.7294080543518923,0.3083480807382008,440898,221822,0.5031140989525922,nan
18,bicycle,157578,152720,118635,34085,38943,0.6189770586915576,0.7528652476868598,0.7768137768465165,0.24713475231314017,45736,21385,0.4675747769809341,0.2056759192273033
3,wall,2786043,2836431,2123469,712962,662574,0.6068779553044366,0.762180985720608,0.7486411620800929,0.23781901427939195,475152,207938,0.43762417079166244,nan
7,traffic_sign,572593,540501,439222,101279,133371,0.6517884702139278,0.7670753921197081,0.8126201431634724,0.23292460788029193,203446,71114,0.3495473000206443,nan
5,pole,1946289,2015301,1524886,490415,421403,0.625798619774909,0.7834838505484026,0.7566542169135032,0.21651614945159736,1049108,311980,0.2973764378881869,nan
11,person,318131,316278,250922,65356,67209,0.6543168347297301,0.788737972721929,0.7933590069495823,0.21126202727807097,111687,31984,0.28637173529596105,0.16883296503641582
6,traffic_light,357236,365081,310930,54151,46306,0.755809007090647,0.8703770056769194,0.8516740120685546,0.12962299432308055,128307,33844,0.2637736054930752,nan
14,truck,714929,692650,638856,53794,76073,0.8310613836193271,0.8935936295772028,0.9223359561105897,0.10640637042279723,59091,27454,0.4646054390685553,0.059313582187881596
1,sidewalk,11905330,12041386,10789683,1251703,1115647,0.8200696159992911,0.9062901238352906,0.8960499231566864,0.09370987616470942,1605707,492915,0.3069769266746673,nan
15,bus,933656,872944,852373,20571,81283,0.893260199093088,0.9129411689101767,0.9764349144962334,0.08705883108982324,48121,21123,0.4389559651711311,0.07107007291764847
8,vegetation,45047967,44213929,41519897,2694032,3528070,0.869672361226433,0.9216819262898146,0.9390682515457968,0.07831807371018541,4196802,1162417,0.27697685046852344,nan
2,building,31579994,31838392,29622827,2215565,1957167,0.8765301677655339,0.9380250990548004,0.9304121577496753,0.061974900945199675,2645654,694195,0.2623906981033801,nan
16,train,1284220,1263305,1208354,54951,75866,0.9023149396156279,0.9409244521966641,0.9565021906823767,0.059075547803335876,77111,28323,0.36730168199089624,0.03695005528647739
13,car,3515628,3643332,3341633,301699,173995,0.875385577394863,0.9505081311219503,0.9171914610032794,0.04949186887804967,515746,95472,0.18511437800777902,0.03842300721236718
0,road,35647746,35696377,34926184,770193,721562,0.9590379071149523,0.9797585519151758,0.9784237767322997,0.020241448084824212,1169589,325058,0.2779249804845976,nan
10,sky,57359699,58174449,56359228,1815221,1000471,0.9524174768635091,0.9825579454313385,0.9687969369507908,0.017442054568661526,2422650,393099,0.16225992198625472,nan
