gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,34926184,580511,6427,7728,13552,8246,109,1559,5729,16812,123,2817,24,55695,5020,5302,11015,698,195
1,sidewalk,606789,10789683,55480,91803,62531,23942,0,4169,61698,166482,2,8718,66,20285,4072,89,219,1424,7878
2,building,2196,43257,29622827,153323,123271,107317,12907,27465,965110,4411,408720,14393,134,44533,6524,6928,25116,3077,8485
3,wall,23442,133412,145068,2123469,210650,13393,0,1924,86118,31655,1442,2651,62,9227,206,28,283,2330,683
4,fence,15747,49352,285232,240120,2273473,39123,1825,16061,270673,41746,6729,2115,432,39757,621,438,104,1797,1674
5,pole,6255,28753,127960,12028,30418,1524886,15476,14309,108812,14591,42705,3433,53,10344,1417,204,1766,885,1994
6,traffic_light,0,0,16341,22,399,9728,310930,1678,12455,0,5036,53,1,195,233,42,123,0,0
7,traffic_sign,2814,850,57587,1806,14698,21418,2353,439222,20953,356,2792,1873,35,3076,495,235,1114,511,405
8,vegetation,4970,108091,1148758,154380,290059,187372,13557,22126,41519897,199281,1336144,13472,416,36153,3282,1498,1819,1999,4693
9,terrain,30983,276508,20923,38382,67179,8726,13,205,385991,1593058,1276,947,6,2979,50,75,0,911,102
10,sky,0,339,234036,10,6686,48225,6664,5324,694054,0,56359228,3,0,339,365,1557,2869,0,0
11,person,3659,9219,15234,2067,4092,5956,22,3406,9906,113,37,250922,650,7180,805,234,2104,1609,916
12,rider,93,327,431,20,165,321,0,59,294,3,0,6552,5907,738,693,0,0,946,626
13,car,54278,7676,32521,4070,6187,7794,99,942,19867,1475,172,3419,39,3341633,27049,2807,1852,3645,103
14,truck,5272,1098,21855,603,4005,2628,450,1266,3750,161,1317,501,0,29597,638856,1054,2516,0,0
15,bus,6632,869,10497,3419,879,3179,521,46,35865,1,4447,272,0,8482,2127,852373,4047,0,0
16,train,6658,308,26394,21,3300,1811,155,715,3811,0,4279,1924,91,25662,657,80,1208354,0,0
17,motorcycle,24,2459,2029,1872,820,129,0,0,1441,17,0,698,149,6751,0,0,0,42323,6331
18,bicycle,381,8674,8792,1288,4510,1107,0,25,7505,128,0,1515,594,706,178,0,4,3536,118635
