category,rank,dataset_index,condition,image_path,visualization_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_miou,1,205,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/enhancement/fem/examples/worst_miou/01_idx00205_miou0.2292_err0.2745_GOPR0356_frame_000488_rgb_anon.png,0.22919704854599818,0.2745469341075042,0.5365665600061683,1.0
worst_miou,2,159,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000330_rgb_anon.png,outputs/analysis/enhancement/fem/examples/worst_miou/02_idx00159_miou0.2341_err0.1381_GOPR0356_frame_000330_rgb_anon.png,0.23408332495601764,0.13808315961346904,0.40543595263724436,0.5829145728643216
worst_miou,3,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/fem/examples/worst_miou/03_idx00155_miou0.2422_err0.4241_GOPR0351_frame_000825_rgb_anon.png,0.24221890580661087,0.4241298827874529,0.6008436126471005,0.23838693210821849
worst_miou,4,193,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000452_rgb_anon.png,outputs/analysis/enhancement/fem/examples/worst_miou/04_idx00193_miou0.2829_err0.2015_GOPR0356_frame_000452_rgb_anon.png,0.2829136933073889,0.20153002543470117,0.5302403746294303,0.6911494955671048
worst_miou,5,133,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000132_rgb_anon.png,outputs/analysis/enhancement/fem/examples/worst_miou/05_idx00133_miou0.2891_err0.1050_GOPR0351_frame_000132_rgb_anon.png,0.289131296431023,0.10502821462506545,0.495403253082434,0.2071811078921956
best_miou,1,281,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GP020402/GP020402_frame_000898_rgb_anon.png,outputs/analysis/enhancement/fem/examples/best_miou/01_idx00281_miou0.8775_err0.0360_GP020402_frame_000898_rgb_anon.png,0.8775361804054945,0.036021088899423064,0.24684237948939075,0.014134414740737825
best_miou,2,399,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000589_rgb_anon.png,outputs/analysis/enhancement/fem/examples/best_miou/02_idx00399_miou0.8497_err0.0234_GP030176_frame_000589_rgb_anon.png,0.8496616354836622,0.023414814526487877,0.2000790714749654,0.03240871116117525
best_miou,3,236,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GOPR0402/GOPR0402_frame_000441_rgb_anon.png,outputs/analysis/enhancement/fem/examples/best_miou/03_idx00236_miou0.8308_err0.0424_GOPR0402_frame_000441_rgb_anon.png,0.8308258080369691,0.04241193639489678,0.23299719463189023,0.17240015816528273
best_miou,4,2,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,outputs/analysis/enhancement/fem/examples/best_miou/04_idx00002_miou0.8279_err0.0225_GOPR0476_frame_000775_rgb_anon.png,0.8278939797849127,0.02248063567039609,0.22617011843688645,0.027101769911504425
best_miou,5,237,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GOPR0402/GOPR0402_frame_000457_rgb_anon.png,outputs/analysis/enhancement/fem/examples/best_miou/05_idx00237_miou0.8274_err0.0320_GOPR0402_frame_000457_rgb_anon.png,0.8274224247130079,0.03201228687762247,0.20965228233012398,0.05623879859093999
highest_pixel_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_pixel_error/01_idx00155_miou0.2422_err0.4241_GOPR0351_frame_000825_rgb_anon.png,0.24221890580661087,0.4241298827874529,0.6008436126471005,0.23838693210821849
highest_pixel_error,2,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_pixel_error/02_idx00154_miou0.3606_err0.2978_GOPR0351_frame_000822_rgb_anon.png,0.3605878639996638,0.29783245425172433,0.5683991499911457,0.4920502092050209
highest_pixel_error,3,205,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_pixel_error/03_idx00205_miou0.2292_err0.2745_GOPR0356_frame_000488_rgb_anon.png,0.22919704854599818,0.2745469341075042,0.5365665600061683,1.0
highest_pixel_error,4,203,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_pixel_error/04_idx00203_miou0.4194_err0.2696_GOPR0356_frame_000482_rgb_anon.png,0.4193600050983619,0.26958787123422656,0.46526293844790745,nan
highest_pixel_error,5,161,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000336_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_pixel_error/05_idx00161_miou0.3505_err0.2464_GOPR0356_frame_000336_rgb_anon.png,0.3505187085645381,0.24642144614252232,0.4620323144416307,0.4162120031176929
highest_boundary_error,1,160,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000333_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_boundary_error/01_idx00160_miou0.3552_err0.2345_GOPR0356_frame_000333_rgb_anon.png,0.35523597692049275,0.23452286624108598,0.6053417385534173,0.1972972972972973
highest_boundary_error,2,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_boundary_error/02_idx00155_miou0.2422_err0.4241_GOPR0351_frame_000825_rgb_anon.png,0.24221890580661087,0.4241298827874529,0.6008436126471005,0.23838693210821849
highest_boundary_error,3,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_boundary_error/03_idx00154_miou0.3606_err0.2978_GOPR0351_frame_000822_rgb_anon.png,0.3605878639996638,0.29783245425172433,0.5683991499911457,0.4920502092050209
highest_boundary_error,4,202,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000479_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_boundary_error/04_idx00202_miou0.3912_err0.1095_GOPR0356_frame_000479_rgb_anon.png,0.39118137900184324,0.10949759269756545,0.5553653412185822,nan
highest_boundary_error,5,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_boundary_error/05_idx00103_miou0.3311_err0.2102_GOPR0351_frame_000047_rgb_anon.png,0.3311144565000254,0.2102459595246262,0.5458347134812852,1.0
highest_dynamic_to_background,1,102,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000043_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_dynamic_to_background/01_idx00102_miou0.4578_err0.1028_GOPR0351_frame_000043_rgb_anon.png,0.4577670475816416,0.10283765995554692,0.44809298126833674,1.0
highest_dynamic_to_background,2,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_dynamic_to_background/02_idx00103_miou0.3311_err0.2102_GOPR0351_frame_000047_rgb_anon.png,0.3311144565000254,0.2102459595246262,0.5458347134812852,1.0
highest_dynamic_to_background,3,110,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000063_rgb_anon.png,outputs/analysis/enhancement/fem/examples/highest_dynamic_to_background/03_idx00110_miou0.5653_err0.0969_GOPR0351_frame_000063_rgb_anon.png,0.565260160781038,0.09690569149580561,0.4399591211037302,0.8343023255813954
