gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,10,sky,1336144,0.029660472802246547
8,vegetation,2,building,1148758,0.025500773431129532
2,building,8,vegetation,965110,0.03056080377976006
10,sky,8,vegetation,694054,0.012100028628113966
1,sidewalk,0,road,606789,0.05096784381449317
0,road,1,sidewalk,580511,0.016284648123334362
2,building,10,sky,408720,0.012942371046682275
9,terrain,8,vegetation,385991,0.1589543197461284
8,vegetation,4,fence,290059,0.006438892125808919
4,fence,2,building,285232,0.08677528179788434
9,terrain,1,sidewalk,276508,0.1138683053344831
4,fence,8,vegetation,270673,0.08234604059179457
4,fence,3,wall,240120,0.0730509924037555
10,sky,2,building,234036,0.004080146933825437
3,wall,4,fence,210650,0.07560902685278009
8,vegetation,9,terrain,199281,0.004423751242758635
8,vegetation,5,pole,187372,0.004159388591276494
1,sidewalk,9,terrain,166482,0.013983820692076574
8,vegetation,3,wall,154380,0.003427013698531612
2,building,3,wall,153323,0.004855067420215469
3,wall,2,building,145068,0.05206954810101639
3,wall,1,sidewalk,133412,0.04788583665076239
5,pole,2,building,127960,0.06574563181521346
2,building,4,fence,123271,0.003903452293246161
5,pole,8,vegetation,108812,0.05590742176521575
8,vegetation,1,sidewalk,108091,0.0023994645529730567
2,building,5,pole,107317,0.003398259037034649
1,sidewalk,3,wall,91803,0.007711084027070228
3,wall,8,vegetation,86118,0.030910506406397892
9,terrain,4,fence,67179,0.027664873653077814
