gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,35050065,458569,7487,7502,11096,8470,129,1905,5756,16126,121,3443,67,57152,4676,5664,8892,200,426
1,sidewalk,687840,10681828,62595,117214,46308,26894,0,690,69488,165280,0,12278,162,21361,4251,147,233,889,7872
2,building,2458,39956,29584750,110627,111432,98566,12643,25321,1085325,4053,394563,13677,431,38592,5524,8332,33932,1105,8707
3,wall,22703,92517,167118,2181051,159947,17031,2,1053,108319,18759,391,2568,117,12230,177,6,1004,515,535
4,fence,28082,49927,321574,398387,2041510,43545,111,16695,297015,42502,4436,1543,245,37363,481,645,194,1156,1608
5,pole,5178,26655,125394,10466,25795,1538983,14180,12123,117842,14072,38055,3411,77,8987,959,244,1844,242,1782
6,traffic_light,0,0,15157,12,19,10911,312723,1707,12428,0,3832,21,6,152,119,21,128,0,0
7,traffic_sign,1677,991,58829,1912,12478,20855,2259,441640,20754,357,2799,3073,11,2675,292,85,1376,76,454
8,vegetation,5964,95585,930033,112875,253813,178053,11228,20542,42059398,190259,1135295,11630,545,32041,2953,1065,1457,938,4293
9,terrain,29792,260668,13118,51230,57509,10112,0,70,395155,1603884,1992,1121,7,2899,15,173,19,327,223
10,sky,7,339,201916,1,5682,48867,6447,10498,809994,0,56270391,2,0,692,355,1519,2989,0,0
11,person,4094,6701,16315,1600,2091,5282,39,1056,11865,1660,60,255325,1037,5680,809,315,3406,71,725
12,rider,150,118,412,20,244,544,0,53,245,5,0,5728,6841,652,572,0,0,820,771
13,car,41957,7474,32553,2203,6222,8086,221,998,19312,892,143,5433,142,3356370,27662,2084,2092,1665,119
14,truck,4556,1316,23243,1059,6522,2410,251,859,4589,174,1300,298,0,33924,631185,1032,2193,18,0
15,bus,3919,275,3945,580,19,3283,522,172,33955,3,3937,251,12,8696,6388,863187,4512,0,0
16,train,8901,247,19290,11,3284,2292,306,394,3789,0,2835,971,1,25727,442,392,1215338,0,0
17,motorcycle,314,3483,3053,2106,572,271,1,6,2147,31,0,1389,484,8402,8,0,0,39850,2926
18,bicycle,438,9106,9133,1558,5681,1692,0,48,7324,14,0,1211,636,741,153,0,9,805,119029
