gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,10,sky,1135295,0.025201914217349696
2,building,8,vegetation,1085325,0.03436748594695743
8,vegetation,2,building,930033,0.020645393387009006
10,sky,8,vegetation,809994,0.01412130841202636
1,sidewalk,0,road,687840,0.057775802938683764
0,road,1,sidewalk,458569,0.012863898884378272
4,fence,3,wall,398387,0.12120009041627079
9,terrain,8,vegetation,395155,0.16272813153488389
2,building,10,sky,394563,0.012494080904511888
4,fence,2,building,321574,0.09783150021341526
4,fence,8,vegetation,297015,0.09035998879227652
9,terrain,1,sidewalk,260668,0.10734526095060194
8,vegetation,4,fence,253813,0.0056342831187032255
10,sky,2,building,201916,0.003520171889325988
8,vegetation,9,terrain,190259,0.0042234758341036785
8,vegetation,5,pole,178053,0.003952520210290511
3,wall,2,building,167118,0.0599839988112172
1,sidewalk,9,terrain,165280,0.01388285751003962
3,wall,4,fence,159947,0.0574100974033782
5,pole,2,building,125394,0.0644272253503976
5,pole,8,vegetation,117842,0.06054702050928716
1,sidewalk,3,wall,117214,0.00984550617244545
8,vegetation,3,wall,112875,0.0025056624641906704
2,building,4,fence,111432,0.0035285630516585912
2,building,3,wall,110627,0.003503072229842729
3,wall,8,vegetation,108319,0.038879155849353364
2,building,5,pole,98566,0.0031211532212450706
8,vegetation,1,sidewalk,95585,0.0021218493611487505
3,wall,1,sidewalk,92517,0.03320731230637862
1,sidewalk,8,vegetation,69488,0.005836713472033114
