class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,14303,8578,5725,8597,0.37458515283842797,0.49944687045123726,0.59973432147102,0.5005531295487627,8437,4806,0.569633756074434,0.10439592430858806
17,motorcycle,65043,53532,39592,13940,25451,0.501272425711862,0.6087050105314945,0.7395950085929911,0.39129498946850544,20940,9933,0.47435530085959887,0.11380163891579417
9,terrain,2428314,1893328,1492173,401155,936141,0.5273685627939376,0.614489312337696,0.7881217623148234,0.38551068766230395,554053,291512,0.5261446107141374,nan
4,fence,3287019,2776942,2021845,755097,1265174,0.5001947000036614,0.6150998822945654,0.7280832656929817,0.38490011770543464,440898,232153,0.5265458223897591,nan
18,bicycle,157578,143569,116064,27505,41514,0.627091629160971,0.7365495183337776,0.8084196449094164,0.2634504816662224,45736,21161,0.46267710337589646,0.23389686377540012
7,traffic_sign,572593,552789,437772,115017,134821,0.636657407542066,0.7645430523949821,0.7919332692944324,0.23545694760501787,203446,71260,0.35026493516707136,nan
3,wall,2786043,3036163,2135604,900559,650439,0.5792879187935123,0.766536625601256,0.703389113166849,0.233463374398744,475152,210240,0.4424689362561875,nan
5,pole,1946289,2032245,1529178,503067,417111,0.6243183922631091,0.7856890728971905,0.7524575038934774,0.2143109271028095,1049108,308938,0.2944768317465885,nan
11,person,318131,309502,250984,58518,67147,0.6663604576143837,0.7889328609912268,0.8109285238867601,0.2110671390087731,111687,34130,0.3055861470000985,0.1702254731541409
6,traffic_light,357236,369293,312904,56389,44332,0.7564919915382291,0.8759027645590031,0.8473055270476288,0.12409723544099699,128307,31414,0.24483465438362678,nan
14,truck,714929,680569,631401,49168,83528,0.8263361850655087,0.883166020681774,0.927754570072983,0.116833979318226,59091,29597,0.5008715371207121,0.06896628896016248
1,sidewalk,11905330,11720849,10584551,1136298,1320779,0.8115973711257521,0.8890598580635732,0.9030532685814825,0.11094014193642679,1605707,554337,0.3452292354707303,nan
15,bus,933656,879807,849381,30426,84275,0.8810256803881827,0.9097365625026776,0.9654174154104253,0.09026343749732235,48121,18007,0.37420253111946966,0.07538536677320126
8,vegetation,45047967,45080858,41990467,3090391,3057500,0.872287064714588,0.9321279026864853,0.9314478220445582,0.06787209731351472,4196802,1005474,0.23958099524352114,nan
16,train,1284220,1252736,1205049,47687,79171,0.9047546112453797,0.9383509056080734,0.9619337194748135,0.06164909439192662,77111,28393,0.368209464278767,0.04019171170048746
2,building,31579994,31878369,29637873,2240496,1942121,0.8763289059383823,0.9385015399306282,0.9297173578736102,0.06149846006937177,2645654,730294,0.27603533946615844,nan
13,car,3515628,3669435,3343943,325492,171685,0.8705645749156496,0.9511651972279206,0.9112964257440178,0.04883480277207941,515746,98847,0.191658296913597,0.037602101246206936
0,road,35647746,35812236,34949339,862897,698407,0.9572370171623655,0.9804081020999196,0.9759049672296363,0.019591897900080413,1169589,300080,0.2565687604791085,nan
10,sky,57359699,57768065,56237720,1530345,1121979,0.9549614192850663,0.9804395940083298,0.9735088062928886,0.019560405991670214,2422650,444315,0.18340040864342766,nan
