gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,34949339,544189,7267,12446,12410,10491,0,1960,7155,12721,121,2761,160,62801,4589,8868,9611,299,558
1,sidewalk,701987,10584551,65231,135098,70477,32260,0,6979,91546,167197,0,9734,203,25154,5745,195,195,2253,6525
2,building,2290,40913,29637873,155931,129375,105450,14750,28288,1026487,3344,334077,13004,567,41583,5939,8916,21364,2606,7237
3,wall,22366,95832,157086,2135604,187207,20973,8,1490,127225,17218,697,2474,198,15895,110,88,288,775,509
4,fence,16578,47854,331641,395075,2021845,43090,1341,15249,326469,34886,8270,1330,497,38969,311,627,73,1586,1328
5,pole,5658,21762,120818,10189,30106,1529178,15098,15360,130653,11801,39740,3095,83,8398,726,236,1821,264,1303
6,traffic_light,0,0,15865,19,18,9176,312904,2011,12137,0,4618,30,6,145,145,34,127,0,1
7,traffic_sign,2202,850,62504,2736,11994,21757,2988,437772,21344,200,2432,684,24,2568,469,107,1389,57,516
8,vegetation,6164,91257,1070247,120639,218386,171208,13881,23359,41990467,151515,1127389,11572,611,40144,2303,1697,1967,757,4404
9,terrain,38694,268044,23587,59930,59454,10544,1,567,465997,1492173,3476,818,12,4319,23,283,7,314,71
10,sky,1,337,267413,9,3494,51794,6110,12307,777170,0,56237720,7,0,379,259,1454,1245,0,0
11,person,4620,7438,15458,1604,1736,6227,29,2820,13026,1165,31,250984,936,6691,557,276,3161,311,1061
12,rider,131,139,404,6,270,537,29,61,211,5,0,4667,8578,577,335,0,2,380,843
13,car,41129,5381,31341,2829,11293,8699,348,1662,28394,955,164,4201,322,3343943,25044,5185,1404,2784,550
14,truck,5626,1169,23425,666,6363,2086,784,1541,6341,130,1175,558,137,30992,631401,1501,973,44,17
15,bus,3474,412,17089,300,81,3835,648,83,39963,0,4499,296,4,7614,1934,849381,4043,0,0
16,train,11522,252,22382,18,6271,2202,374,1276,3662,0,3656,1085,3,24831,675,959,1205049,3,0
17,motorcycle,122,1881,1650,2150,413,180,0,0,995,11,0,574,1236,13657,0,0,0,39592,2582
18,bicycle,333,8588,7088,914,5749,2558,0,4,11616,7,0,1628,726,775,4,0,17,1507,116064
