dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.49884175243846746,0.026874563842973053,0.26283491789109764,0.014924327814315887,0.022539035980991176,480045,23140,456905,7365,12901,6082,6819,166
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7033715874989421,0.02189595060321689,0.22445218693311067,0.006727545200694317,0.043824701195219126,498494,34729,463765,10542,10915,7795,3120,462
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.7211447868498454,0.02281688449452595,0.23057191715751474,0.008800304239699863,0.023783185840707963,499630,31578,468052,1808,11400,7281,4119,43
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7002116313383426,0.016375279927709898,0.19861425175392822,0.0031291748671417674,0.03453086850366237,509060,34494,474566,11468,8336,6851,1485,396
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7281392741824236,0.02407735417414776,0.18858076632277262,0.009243599527593344,0.01932448328012099,495694,41001,454693,5951,11935,7732,4203,115
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.670075673620523,0.01214768120713199,0.19384228715048696,0.0026645623456347297,0.024529538432731018,513349,25464,487885,53405,6236,4936,1300,1310
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.579502123382471,0.021704741638896696,0.22390128933869402,0.0059232808526754315,0.050570317135887125,498140,36065,462075,15167,10812,8075,2737,767
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.620866770457468,0.04617157165525947,0.25328162956029504,0.0248551492547584,0.032727710263506196,480837,44871,435966,8311,22201,11365,10836,272
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.5223694058181039,0.08168500838131332,0.2761468755899566,0.0628649862170242,0.18838526912181303,480235,42376,437859,11296,39228,11702,27526,2128
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6393035283198233,0.03554140306424638,0.22790350944261795,0.012964637207768463,0.015426997245179064,498067,52316,445751,3630,17702,11923,5779,56
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.7192280177894291,0.04094968373865117,0.25328114206769514,0.014592361491292293,0.007032657905147026,511286,56459,454827,22751,20937,14300,6637,160
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.641120527428825,0.059252250098270835,0.28933805223991066,0.018467498205012606,0.01524390243902439,493534,74311,419223,328,29243,21501,7742,5
