gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,10,sky,1127389,0.025026412401696174
8,vegetation,2,building,1070247,0.023757942284054683
2,building,8,vegetation,1026487,0.03250434436434662
10,sky,8,vegetation,777170,0.013549059941894046
1,sidewalk,0,road,701987,0.05896409423342318
0,road,1,sidewalk,544189,0.015265733771779007
9,terrain,8,vegetation,465997,0.1919014592017342
4,fence,3,wall,395075,0.12019249052104658
2,building,10,sky,334077,0.010578754384817172
4,fence,2,building,331641,0.10089415363890504
4,fence,8,vegetation,326469,0.09932069148368172
9,terrain,1,sidewalk,268044,0.11038275939602539
10,sky,2,building,267413,0.004662036319263112
8,vegetation,4,fence,218386,0.00484785473226794
3,wall,4,fence,187207,0.06719458385961738
8,vegetation,5,pole,171208,0.0038005710668363793
1,sidewalk,9,terrain,167197,0.014043877826150136
3,wall,2,building,157086,0.05638319293707958
2,building,3,wall,155931,0.00493765134977543
8,vegetation,9,terrain,151515,0.003363414824025244
1,sidewalk,3,wall,135098,0.011347690488209902
5,pole,8,vegetation,130653,0.06712929066546644
2,building,4,fence,129375,0.004096739220406438
3,wall,8,vegetation,127225,0.04566512433584119
5,pole,2,building,120818,0.06207608428141967
8,vegetation,3,wall,120639,0.0026780120843189217
2,building,5,pole,105450,0.0033391393297921464
3,wall,1,sidewalk,95832,0.03439717190294622
1,sidewalk,8,vegetation,91546,0.00768949705720043
8,vegetation,1,sidewalk,91257,0.0020257739933080667
