gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,35052430,454635,6745,6037,14642,8604,80,1501,6420,16744,121,3463,75,55817,4414,6068,8785,205,960
1,sidewalk,698422,10664224,53591,114607,60796,28191,0,997,68597,166304,0,11234,163,21686,5845,193,224,994,9262
2,building,2008,41800,29555171,141725,110433,100208,14348,23214,1117330,3850,352529,12125,239,43600,4546,10204,35095,1364,10205
3,wall,25124,99760,157930,2123075,173594,17908,74,1295,141419,20960,7685,2517,92,11798,83,19,1016,710,984
4,fence,19711,72830,310609,362457,2025008,47141,2066,14909,327664,47433,5819,1543,252,44495,244,836,121,1979,1902
5,pole,5691,27590,120863,9109,24445,1542952,15460,11512,122527,12344,36238,2784,90,9406,901,150,1787,370,2070
6,traffic_light,0,0,13882,7,11,9272,316235,1197,12363,0,3788,11,2,205,139,15,109,0,0
7,traffic_sign,2219,800,55056,1794,12251,22373,3059,441436,23035,232,2345,2902,0,2728,287,96,1204,171,605
8,vegetation,6463,94718,941502,93792,237030,177246,12161,18390,42181780,194051,1038945,10315,455,31133,2009,1484,1515,1099,3879
9,terrain,29644,276805,11775,46567,59443,10730,5,53,413222,1571863,3294,1239,5,2521,14,277,10,242,605
10,sky,1,338,223029,1,5298,53462,7267,16648,907170,0,56141675,0,0,515,269,1328,2698,0,0
11,person,3499,8158,15868,1349,3479,3932,10,969,11838,1296,57,252579,964,6801,761,319,4551,963,738
12,rider,146,82,527,20,173,506,6,63,286,5,0,5770,6666,706,545,0,0,826,848
13,car,42885,6485,32341,2107,6528,8201,208,1834,21077,828,144,4449,31,3359338,20191,3289,2885,2644,163
14,truck,4794,1147,26207,709,7747,2164,371,838,4914,151,807,286,29,37957,623571,1138,2024,75,0
15,bus,4101,162,3673,330,211,2991,658,129,40099,0,4857,181,27,9446,3144,858992,4655,0,0
16,train,9644,204,21911,3,2820,1849,360,1354,3749,0,2468,936,0,26476,322,136,1211967,21,0
17,motorcycle,33,1553,2698,1693,160,126,0,3,4418,19,0,1263,284,5890,0,0,0,41687,5216
18,bicycle,440,7945,8432,1097,7423,1246,0,6,6858,7,0,843,605,953,165,0,2,1772,119784
