category,rank,dataset_index,condition,image_path,visualization_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_miou,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/none/examples/worst_miou/01_idx00155_miou0.2209_err0.4144_GOPR0351_frame_000825_rgb_anon.png,0.2209025417469854,0.41437584959860474,0.6456472423082377,0.123192104815382
worst_miou,2,159,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000330_rgb_anon.png,outputs/analysis/enhancement/none/examples/worst_miou/02_idx00159_miou0.2719_err0.1066_GOPR0356_frame_000330_rgb_anon.png,0.27194203198116745,0.10657739348319453,0.4330462863293864,0.271356783919598
worst_miou,3,205,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/enhancement/none/examples/worst_miou/03_idx00205_miou0.2760_err0.2271_GOPR0356_frame_000488_rgb_anon.png,0.27598518451001536,0.22708498284507786,0.5325571533212538,1.0
worst_miou,4,161,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000336_rgb_anon.png,outputs/analysis/enhancement/none/examples/worst_miou/04_idx00161_miou0.2857_err0.2556_GOPR0356_frame_000336_rgb_anon.png,0.2856548584361295,0.25555534033655947,0.5071512644006134,0.691348402182385
worst_miou,5,140,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000712_rgb_anon.png,outputs/analysis/enhancement/none/examples/worst_miou/05_idx00140_miou0.2954_err0.1578_GOPR0351_frame_000712_rgb_anon.png,0.2954318240048714,0.15780188552944682,0.4849703399498061,0.3232695139911635
best_miou,1,326,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0122/GOPR0122_frame_000332_rgb_anon.png,outputs/analysis/enhancement/none/examples/best_miou/01_idx00326_miou0.8753_err0.0473_GOPR0122_frame_000332_rgb_anon.png,0.8752976130568545,0.04731474958907786,0.2138338104831584,0.028205128205128206
best_miou,2,399,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000589_rgb_anon.png,outputs/analysis/enhancement/none/examples/best_miou/02_idx00399_miou0.8673_err0.0176_GP030176_frame_000589_rgb_anon.png,0.8673251467275978,0.017558678136312327,0.18838778910508033,0.03107105979536281
best_miou,3,281,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GP020402/GP020402_frame_000898_rgb_anon.png,outputs/analysis/enhancement/none/examples/best_miou/03_idx00281_miou0.8563_err0.0422_GP020402_frame_000898_rgb_anon.png,0.85627209270193,0.04222211944980788,0.25841283530067016,0.011024056065199418
best_miou,4,61,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000095_rgb_anon.png,outputs/analysis/enhancement/none/examples/best_miou/04_idx00061_miou0.8558_err0.0304_GP010476_frame_000095_rgb_anon.png,0.8558492082215523,0.03040908573565517,0.20289887691026537,0.011899773736696555
best_miou,5,315,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0122/GOPR0122_frame_000085_rgb_anon.png,outputs/analysis/enhancement/none/examples/best_miou/05_idx00315_miou0.8443_err0.0386_GOPR0122_frame_000085_rgb_anon.png,0.8443071427177506,0.038624078825992364,0.24078599817324545,0.10135746606334842
highest_pixel_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_pixel_error/01_idx00155_miou0.2209_err0.4144_GOPR0351_frame_000825_rgb_anon.png,0.2209025417469854,0.41437584959860474,0.6456472423082377,0.123192104815382
highest_pixel_error,2,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_pixel_error/02_idx00154_miou0.3384_err0.2732_GOPR0351_frame_000822_rgb_anon.png,0.33841062312073167,0.27318065645332773,0.5562245440056667,0.5087866108786611
highest_pixel_error,3,203,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_pixel_error/03_idx00203_miou0.4183_err0.2591_GOPR0356_frame_000482_rgb_anon.png,0.4183060319575859,0.25914910561826066,0.4649502267160056,nan
highest_pixel_error,4,161,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000336_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_pixel_error/04_idx00161_miou0.2857_err0.2556_GOPR0356_frame_000336_rgb_anon.png,0.2856548584361295,0.25555534033655947,0.5071512644006134,0.691348402182385
highest_pixel_error,5,150,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000774_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_pixel_error/05_idx00150_miou0.4477_err0.2484_GOPR0351_frame_000774_rgb_anon.png,0.44765694158194724,0.2483923618058907,0.46238177128116936,0.09674493600725587
highest_boundary_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_boundary_error/01_idx00155_miou0.2209_err0.4144_GOPR0351_frame_000825_rgb_anon.png,0.2209025417469854,0.41437584959860474,0.6456472423082377,0.123192104815382
highest_boundary_error,2,160,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000333_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_boundary_error/02_idx00160_miou0.3475_err0.2327_GOPR0356_frame_000333_rgb_anon.png,0.34753343302087814,0.23272244208422055,0.5895819508958196,0.15405405405405406
highest_boundary_error,3,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_boundary_error/03_idx00154_miou0.3384_err0.2732_GOPR0351_frame_000822_rgb_anon.png,0.33841062312073167,0.27318065645332773,0.5562245440056667,0.5087866108786611
highest_boundary_error,4,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_boundary_error/04_idx00103_miou0.3189_err0.2024_GOPR0351_frame_000047_rgb_anon.png,0.31893641754127716,0.20242731179758278,0.5391271944352435,1.0
highest_boundary_error,5,202,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000479_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_boundary_error/05_idx00202_miou0.4121_err0.0863_GOPR0356_frame_000479_rgb_anon.png,0.41206283167640756,0.08632715471206036,0.5351334526495992,nan
highest_dynamic_to_background,1,102,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000043_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_dynamic_to_background/01_idx00102_miou0.4635_err0.1276_GOPR0351_frame_000043_rgb_anon.png,0.4635448711850831,0.1275868021838113,0.4935304295493869,1.0
highest_dynamic_to_background,2,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_dynamic_to_background/02_idx00103_miou0.3189_err0.2024_GOPR0351_frame_000047_rgb_anon.png,0.31893641754127716,0.20242731179758278,0.5391271944352435,1.0
highest_dynamic_to_background,3,110,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000063_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_dynamic_to_background/03_idx00110_miou0.6091_err0.0961_GOPR0351_frame_000063_rgb_anon.png,0.6091023221221499,0.09612355980438206,0.4250127746550843,0.9031007751937985
highest_dynamic_to_background,4,189,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000430_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_dynamic_to_background/04_idx00189_miou0.4635_err0.0581_GOPR0356_frame_000430_rgb_anon.png,0.46346326499401913,0.05810683431099893,0.3705912354348935,0.8613861386138614
highest_dynamic_to_background,5,180,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000398_rgb_anon.png,outputs/analysis/enhancement/none/examples/highest_dynamic_to_background/05_idx00180_miou0.4730_err0.2139_GOPR0356_frame_000398_rgb_anon.png,0.4730053574382728,0.21388829082008454,0.48250488061270463,0.7769516728624535
