dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.49785170224654535,0.02460810965638638,0.24559204840103716,0.013416355697573894,0.018737270875763747,480045,23140,456905,7365,11813,5683,6130,138
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7032072260788097,0.02337239766175721,0.237092919462121,0.0073679557534527184,0.037564029595902104,498494,34729,463765,10542,11651,8234,3417,396
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.7212693143963312,0.02106158557332426,0.22927354487301285,0.007014177911855947,0.023230088495575223,499630,31578,468052,1808,10523,7240,3283,42
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7526824696366635,0.016656189840097434,0.20073056183684118,0.0032766780595322883,0.028688524590163935,509060,34494,474566,11468,8479,6924,1555,329
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.8014165884153418,0.022762026572845345,0.18128826126192044,0.008467251530153312,0.022853301966056123,495694,41001,454693,5951,11283,7433,3850,136
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6294517697256036,0.01357555970694401,0.2043669494187873,0.0036176558000348444,0.02323752457635053,513349,25464,487885,53405,6969,5204,1765,1241
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.49238096788750607,0.022222668326173364,0.22487175932344378,0.006405886490288373,0.053009823959912966,498140,36065,462075,15167,11070,8110,2960,804
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.5982918106168171,0.04746930872624195,0.26025718169864726,0.025568507635916563,0.0178077247022019,480837,44871,435966,8311,22825,11678,11147,148
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.4972666542789209,0.10451133299322207,0.28169246743439685,0.08736374038217783,0.18077195467422097,480235,42376,437859,11296,50190,11937,38253,2042
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6352131782977347,0.035806427649292163,0.23247190152152306,0.012724592878086645,0.01349862258953168,498067,52316,445751,3630,17834,12162,5672,49
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.6789241593241397,0.040298384857007624,0.25140367346215836,0.01409327062817291,0.005362401652674608,511286,56459,454827,22751,20604,14194,6410,122
