gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
2,building,8,vegetation,1117330,0.03538094402424522
8,vegetation,10,sky,1038945,0.023063082957772544
8,vegetation,2,building,941502,0.020899988672074814
10,sky,8,vegetation,907170,0.015815459561599163
1,sidewalk,0,road,698422,0.058664648522972485
0,road,1,sidewalk,454635,0.012753541275793426
9,terrain,8,vegetation,413222,0.17016827313106955
4,fence,3,wall,362457,0.11026921353359989
2,building,10,sky,352529,0.011163048352700764
4,fence,8,vegetation,327664,0.09968424277438007
4,fence,2,building,310609,0.09449565092261408
9,terrain,1,sidewalk,276805,0.11399061241668088
8,vegetation,4,fence,237030,0.005261724685600129
10,sky,2,building,223029,0.0038882526214093277
8,vegetation,9,terrain,194051,0.0043076527737644634
8,vegetation,5,pole,177246,0.00393460597234055
3,wall,4,fence,173594,0.06230844247558275
1,sidewalk,9,terrain,166304,0.013968869405551967
3,wall,2,building,157930,0.0566861315492977
2,building,3,wall,141725,0.004487809592364077
3,wall,8,vegetation,141419,0.050759805214779526
5,pole,8,vegetation,122527,0.0629541655941127
5,pole,2,building,120863,0.06209920520539344
1,sidewalk,3,wall,114607,0.009626528622054155
2,building,4,fence,110433,0.003496929100113192
2,building,5,pole,100208,0.003173148164625997
3,wall,1,sidewalk,99760,0.03580705681857746
8,vegetation,1,sidewalk,94718,0.0021026032095965617
8,vegetation,3,wall,93792,0.0020820473430021827
4,fence,1,sidewalk,72830,0.022156853976201537
