class_id,class,tp,fp,fn,iou,error_pixels
0,road,35039482,834459,608264,0.9604540624668931,1442723
1,sidewalk,10735270,1136976,1170060,0.823111342426715,2307036
2,building,29604216,2138408,1975778,0.8779839566536991,4114186
3,wall,2181846,879562,604197,0.595221252699077,1483759
4,fence,1979355,629757,1307664,0.5053531271637693,1937421
5,pole,1540163,487726,406126,0.6327664373473458,893852
6,traffic_light,311846,46882,45390,0.7716706506515424,92272
7,traffic_sign,441828,87611,130765,0.6692295108784557,218376
8,vegetation,41797609,2818941,3250358,0.8732046991629374,6069299
9,terrain,1570794,497771,857520,0.5368244599866374,1355291
10,sky,56396606,1744584,963093,0.9541881423381787,2707677
11,person,247256,55315,70875,0.6620930469197689,126190
12,rider,6300,1808,10875,0.33187588895327397,12683
13,car,3364673,325961,150955,0.8758544966679153,476916
14,truck,632159,35522,82770,0.8423721202317007,118292
15,bus,867620,20937,66036,0.9088899667188006,86973
16,train,1211964,79699,72256,0.8885894250318384,151955
17,motorcycle,36530,7650,28513,0.5025243145832473,36163
18,bicycle,109235,20269,48343,0.6142077178698544,68612
