gt\pred,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
road,35039482,472930,7143,7547,12009,8112,116,861,4992,13184,121,3034,74,58248,4078,5449,9997,172,197
sidewalk,669357,10735270,62100,105510,51148,23506,0,519,55877,157784,0,12750,106,20875,3676,135,274,774,5669
building,2333,39501,29604216,195284,94472,100478,12426,24307,977676,3592,407776,9517,149,48120,5158,6714,41898,595,5782
wall,28105,112262,141700,2181846,148917,19760,7,1722,109892,18710,1261,2166,49,13047,62,32,5865,462,178
fence,22618,68034,346575,376503,1979355,54649,116,15074,307098,61104,10013,1221,238,40279,498,742,691,1299,912
pole,5611,28926,124826,11100,23477,1540163,14293,11833,115613,14536,39991,1974,49,9676,846,182,1641,131,1421
traffic_light,9,0,15872,7,15,9779,311846,1589,12950,0,4762,5,0,144,102,31,125,0,0
traffic_sign,2153,853,57284,1321,15933,19670,2477,441828,20939,755,3014,1575,0,2988,257,41,1008,61,436
vegetation,6154,99945,1053618,120347,220298,174086,10055,19190,41797609,225986,1268659,8182,242,35367,2129,1342,2057,392,2309
terrain,31201,281135,18146,51338,40232,8351,5,105,422006,1570794,188,741,6,3596,59,197,10,175,29
sky,11,326,193315,0,2901,45785,5693,7430,703364,0,56396606,0,0,480,272,1511,2005,0,0
person,4634,8736,17662,1567,2014,5813,37,1203,14155,1057,82,247256,245,8452,637,241,3861,167,312
rider,152,104,490,8,240,402,0,69,359,11,0,6230,6300,843,500,0,0,714,753
car,41742,8703,35175,2798,5404,7468,338,1229,21234,843,217,3206,67,3364673,15526,3108,3105,675,117
truck,5190,1140,22282,1055,3552,2191,622,1105,5458,112,989,245,0,34991,632159,1096,2739,0,3
bus,3704,259,5488,1020,4,2838,368,63,33881,0,4190,200,3,8330,1272,867620,4416,0,0
train,10794,269,20931,40,2869,2123,325,1284,3283,0,3321,841,0,25761,295,116,1211964,4,0
motorcycle,287,2198,2795,2874,741,389,4,0,1898,22,0,1435,99,13620,0,0,0,36530,2151
bicycle,404,11655,13006,1243,5531,2326,0,28,8266,75,0,1993,481,1144,155,0,7,2029,109235
