dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.49054975227385184,0.025755918715953712,0.0,0.025755918715953712,0.015207060420909708,480045,0,480045,7365,12364,0,12364,112
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7087210606297764,0.02088289929266952,0.0,0.02088289929266952,0.040220072092582056,498494,0,498494,10542,10410,0,10410,424
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.727251745531341,0.024083822028300943,0.0,0.024083822028300943,0.017146017699115043,499630,0,499630,1808,12033,0,12033,31
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.8155727558920723,0.017339802773739834,0.0,0.017339802773739834,0.029647715381932335,509060,0,509060,11468,8827,0,8827,340
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7305340589934264,0.022423107804411594,0.0,0.022423107804411594,0.028230549487481094,495694,0,495694,5951,11115,0,11115,168
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6347352967968789,0.013032069800467129,0.0,0.013032069800467129,0.021608463627001216,513349,0,513349,53405,6690,0,6690,1154
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.47376604939680766,0.021865339061308067,0.0,0.021865339061308067,0.05795477022483023,498140,0,498140,15167,10892,0,10892,879
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6281194458001015,0.042536244091032925,0.0,0.042536244091032925,0.019131271808446638,480837,0,480837,8311,20453,0,20453,159
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.4387107869425141,0.10699969806448927,0.0,0.10699969806448927,0.20069050991501416,480235,0,480235,11296,51385,0,51385,2267
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6418369161695612,0.03318027494292936,0.0,0.03318027494292936,0.015702479338842976,498067,0,498067,3630,16526,0,16526,57
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.684929762458019,0.04090274327871289,0.0,0.04090274327871289,0.007911740143290404,511286,0,511286,22751,20913,0,20913,180
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.6503807058045414,0.05351809601770091,0.0,0.05351809601770091,0.012195121951219513,493534,0,493534,328,26413,0,26413,4
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.6694791571300696,0.03867181014697983,0.0,0.03867181014697983,0.09529969814575248,511975,0,511975,2319,19799,0,19799,221
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7175242558127658,0.034893093248099104,0.0,0.034893093248099104,0.13905775075987842,503710,0,503710,1316,17576,0,17576,183
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7504544750387853,0.06463921457418617,0.0,0.06463921457418617,0.15517755893763055,511315,0,511315,3351,33051,0,33051,520
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6786395587124242,0.07676163318816365,0.0,0.07676163318816365,0.01799610894941634,514111,0,514111,6168,39464,0,39464,111
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.6127374008127079,0.04559792279621169,0.0,0.04559792279621169,0.06882022471910113,509146,0,509146,2848,23216,0,23216,196
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6671955112692102,0.08012849498091056,0.0,0.08012849498091056,0.01953633758791352,508658,0,508658,7678,40758,0,40758,150
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.57791697474503,0.05859752917335202,0.0,0.05859752917335202,0.02631578947368421,502342,0,502342,1064,29436,0,29436,28
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7182053110751392,0.03205953550892974,0.0,0.03205953550892974,0.3004059539918809,511829,0,511829,739,16409,0,16409,222
20,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000899_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000899_gt_labelTrainIds.png,fog,0.6518788496725304,0.03915177765029785,0.0,0.03915177765029785,0.005140535610645884,503783,0,503783,12061,19724,0,19724,62
21,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000904_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000904_gt_labelTrainIds.png,fog,0.5949404294190417,0.02811290051063352,0.0,0.02811290051063352,0.04903357070193286,498988,0,498988,9830,14028,0,14028,482
22,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000910_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000910_gt_labelTrainIds.png,fog,0.677550506983924,0.03199901980279557,0.0,0.03199901980279557,0.00897273668468883,497859,0,497859,8693,15931,0,15931,78
23,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000916_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000916_gt_labelTrainIds.png,fog,0.7589620592451836,0.04932800915459991,0.0,0.04932800915459991,0.021577164973391388,499858,0,499858,10335,24657,0,24657,223
24,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000921_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000921_gt_labelTrainIds.png,fog,0.6593986239328395,0.024815503857420027,0.0,0.024815503857420027,0.02601631531638485,501501,0,501501,58963,12445,0,12445,1534
25,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000926_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000926_gt_labelTrainIds.png,fog,0.6500486591813565,0.026217401061118504,0.0,0.026217401061118504,0.024477271105402126,499096,0,499096,14013,13085,0,13085,343
