class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,5480,979,0,979,5480,0.0,0.0,0.0,1.0,3953,3953,1.0,0.46295620437956203
14,truck,7947,0,0,0,7947,0.0,0.0,nan,1.0,2458,2458,1.0,0.4126085315213288
17,motorcycle,20816,0,0,0,20816,0.0,0.0,nan,1.0,7340,7340,1.0,0.5095599538816296
18,bicycle,116135,21836,7521,14315,108614,0.057654273668072055,0.06476083867912344,0.3444312145081517,0.9352391613208766,30636,29898,0.9759106933019976,0.7284367331123262
11,person,88846,44956,8835,36121,80011,0.07069866444741411,0.09944173063503141,0.19652549159177862,0.9005582693649686,36936,33583,0.9092213558587827,0.6900254372734844
9,terrain,555605,308703,77946,230757,477659,0.09912228719088664,0.14029031416203958,0.25249511666553287,0.8597096858379604,129084,113424,0.8786836478572092,nan
7,traffic_sign,195691,100696,40260,60436,155431,0.15718764519164322,0.20573250686030528,0.3998172717883531,0.7942674931396947,67804,59869,0.8829715061058344,nan
6,traffic_light,43713,25233,11636,13597,32077,0.20303611935089863,0.26619083567817353,0.46114215511433443,0.7338091643218264,14204,11846,0.8339904252323289,nan
4,fence,1295259,824431,384727,439704,910532,0.22174939753758438,0.2970270810702724,0.4666576099152021,0.7029729189297276,175636,133235,0.7585859391013232,nan
3,wall,1016986,1006997,438244,568753,578742,0.2763657827675298,0.43092431950882315,0.4351989132043094,0.5690756804911768,163461,110994,0.6790243544331676,nan
5,pole,404695,397020,230292,166728,174403,0.4030149293955616,0.5690507666267189,0.580051382801874,0.4309492333732811,189982,104161,0.5482677306271121,nan
16,train,621238,478064,392507,85557,228731,0.5553335832879406,0.6318142161297281,0.8210344221694167,0.36818578387027195,36507,25640,0.7023310597967513,0.3058731114323335
13,car,288515,497424,207807,289617,80708,0.359445593739838,0.7202641110514185,0.4177663321432018,0.27973588894858153,71179,31184,0.4381067449669144,0.22495190891288147
1,sidewalk,4407154,4348008,3361563,986445,1045591,0.6232504492825662,0.7627514264307532,0.7731271423603636,0.23724857356924672,633358,269149,0.42495555436261956,nan
8,vegetation,9630935,9938216,7549415,2388801,2081520,0.628084926324505,0.7838714517333987,0.7596348278202043,0.21612854826660133,436012,215304,0.4938029228553343,nan
2,building,9630098,9999831,8066954,1932877,1563144,0.6976538477338228,0.8376814026191634,0.8067090333826642,0.16231859738083662,400254,131107,0.3275594997176793,nan
10,sky,9303645,9339340,8087299,1252041,1216346,0.7661557003495557,0.8692613486434618,0.8659390278113871,0.13073865135653823,88700,48288,0.5443968432919954,nan
0,road,13550736,13813567,12925779,887788,624957,0.8952285566031541,0.9538802172811868,0.9357307203852561,0.04611978271881321,418054,168204,0.40234993565424565,nan
15,bus,0,38193,0,38193,0,0.0,nan,0.0,nan,0,0,nan,nan
