gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,12925779,477744,15324,35851,13002,3982,1,632,11049,10554,1764,412,49,32498,0,4943,16297,0,855
1,sidewalk,727913,3361563,31946,105206,34895,10375,0,131,38544,75117,5,1517,93,17450,0,75,431,0,1893
2,building,16157,53999,8066954,125981,112544,49904,4415,34912,711329,416,317621,8298,37,64256,0,15444,47449,0,382
3,wall,48541,154834,119245,438244,96282,12206,1,31,112659,6227,5875,1511,45,14875,0,393,2220,0,3797
4,fence,16679,56556,314954,169908,384727,15704,116,3436,280932,2408,3153,3853,87,39282,0,826,547,0,2091
5,pole,4078,14326,72897,10965,3639,230292,902,4344,46748,141,9785,1190,84,3615,0,14,763,0,912
6,traffic_light,0,0,15667,18,9,4781,11636,4634,5996,0,656,1,4,34,0,0,277,0,0
7,traffic_sign,5929,2236,93370,4210,5431,14182,3528,40260,16889,11,604,1377,104,5624,0,373,520,0,1043
8,vegetation,8695,68449,707154,68469,109222,32318,4012,6453,7549415,128980,906079,7569,103,29870,0,881,2796,0,470
9,terrain,10460,124873,29929,29455,33926,1667,0,23,240742,77946,2896,468,0,2989,0,0,2,0,229
10,sky,24656,106,302786,131,0,10661,579,2330,868423,169,8087299,0,0,435,0,1983,4087,0,0
11,person,3855,6993,20314,6238,4362,5239,0,1233,12880,192,0,8835,219,15047,0,418,1092,0,1929
12,rider,333,269,1024,1,56,192,0,1,647,14,0,534,0,2333,0,0,11,0,65
13,car,10395,4217,25415,1219,7057,912,28,1178,14460,21,0,4326,133,207807,0,3069,8022,0,256
14,truck,39,142,2509,128,192,74,3,48,144,0,0,0,0,3513,0,102,1042,0,11
15,bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,train,7934,3938,161622,2075,1073,1108,12,1026,7629,0,3603,91,1,28831,0,9672,392507,0,116
17,motorcycle,401,1440,2409,37,1087,83,0,6,2328,2816,0,29,9,9904,0,0,1,0,266
18,bicycle,1723,16323,16312,8861,16927,3340,0,18,17402,3691,0,4945,11,19061,0,0,0,0,7521
