category,rank,dataset_index,image_path,output_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_overall,1,154,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/night/examples/worst_overall/01_idx00154_miou0.1468_berr0.6701_dbg0.4653_GOPR0351_frame_000822_rgb_anon.png,0.14677566537735398,0.40800739198550035,0.6701345847352577,0.46527196652719666
worst_overall,2,203,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/night/examples/worst_overall/02_idx00203_miou0.1491_berr0.6669_dbgnan_GOPR0356_frame_000482_rgb_anon.png,0.14913239668830225,0.40984303606098577,0.6669098869025903,nan
worst_overall,3,159,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000330_rgb_anon.png,outputs/analysis/night/examples/worst_overall/03_idx00159_miou0.1677_berr0.4864_dbg0.2714_GOPR0356_frame_000330_rgb_anon.png,0.16770524150814278,0.1309707431787141,0.48643702906350916,0.271356783919598
worst_overall,4,155,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/night/examples/worst_overall/04_idx00155_miou0.1771_berr0.6907_dbg0.4196_GOPR0351_frame_000825_rgb_anon.png,0.17710420227410048,0.46656749339557313,0.6907344392457111,0.41960183767228176
worst_overall,5,133,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000132_rgb_anon.png,outputs/analysis/night/examples/worst_overall/05_idx00133_miou0.1834_berr0.6412_dbg0.5000_GOPR0351_frame_000132_rgb_anon.png,0.18341296476598623,0.2945451724873471,0.6412077606616856,0.5000438943025195
boundary_error,1,179,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000395_rgb_anon.png,outputs/analysis/night/examples/boundary_error/01_idx00179_miou0.2390_berr0.7249_dbgnan_GOPR0356_frame_000395_rgb_anon.png,0.23901431577701815,0.3870586661911555,0.7249476518097517,nan
boundary_error,2,155,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/night/examples/boundary_error/02_idx00155_miou0.1771_berr0.6907_dbg0.4196_GOPR0351_frame_000825_rgb_anon.png,0.17710420227410048,0.46656749339557313,0.6907344392457111,0.41960183767228176
boundary_error,3,154,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/night/examples/boundary_error/03_idx00154_miou0.1468_berr0.6701_dbg0.4653_GOPR0351_frame_000822_rgb_anon.png,0.14677566537735398,0.40800739198550035,0.6701345847352577,0.46527196652719666
boundary_error,4,203,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/night/examples/boundary_error/04_idx00203_miou0.1491_berr0.6669_dbgnan_GOPR0356_frame_000482_rgb_anon.png,0.14913239668830225,0.40984303606098577,0.6669098869025903,nan
boundary_error,5,178,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000391_rgb_anon.png,outputs/analysis/night/examples/boundary_error/05_idx00178_miou0.2206_berr0.6491_dbgnan_GOPR0356_frame_000391_rgb_anon.png,0.22059953648229283,0.42348867701159665,0.6491047716953654,nan
