gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,10,sky,906079,0.09408006595413633
10,sky,8,vegetation,868423,0.09334223307101679
1,sidewalk,0,road,727913,0.16516622745653997
2,building,8,vegetation,711329,0.0738651880801213
8,vegetation,2,building,707154,0.0734252697168032
0,road,1,sidewalk,477744,0.03525594476934685
2,building,10,sky,317621,0.03298211503143582
4,fence,2,building,314954,0.24315909018968407
10,sky,2,building,302786,0.03254487891573679
4,fence,8,vegetation,280932,0.21689252883014132
9,terrain,8,vegetation,240742,0.43329703656374585
4,fence,3,wall,169908,0.13117685343240232
16,train,2,building,161622,0.26016116206671197
3,wall,1,sidewalk,154834,0.1522479168838116
8,vegetation,9,terrain,128980,0.013392261499013335
2,building,3,wall,125981,0.013082006019045704
9,terrain,1,sidewalk,124873,0.2247513971256558
3,wall,2,building,119245,0.11725333485416711
3,wall,8,vegetation,112659,0.11077733616785285
2,building,4,fence,112544,0.011686693115687919
8,vegetation,4,fence,109222,0.011340747289852958
1,sidewalk,3,wall,105206,0.023871641426644042
3,wall,4,fence,96282,0.094673869650123
7,traffic_sign,2,building,93370,0.4771297606941556
1,sidewalk,9,terrain,75117,0.01704433291870445
5,pole,2,building,72897,0.18012824472751085
8,vegetation,3,wall,68469,0.007109278590292635
8,vegetation,1,sidewalk,68449,0.007107201948720452
2,building,13,car,64256,0.006672413925590373
4,fence,1,sidewalk,56556,0.04366385410176652
