class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,7061,5141,1920,12034,0.26923278345116525,0.29933042212518196,0.7280838408157485,0.7006695778748181,8437,6205,0.7354509896882778,0.09950509461426492
17,motorcycle,65043,49625,39479,10146,25564,0.5250635066299592,0.6069676982918992,0.7955465994962216,0.3930323017081008,20940,10170,0.48567335243553006,0.11907507341297295
4,fence,3287019,2802427,2012799,789628,1274220,0.49373884959870207,0.612347844658032,0.7182342305437394,0.3876521553419679,440898,233171,0.5288547464492921,nan
9,terrain,2428314,2068519,1559722,508797,868592,0.531039514679561,0.6423065550830741,0.7540283652216876,0.3576934449169259,554053,270290,0.48784141589342533,nan
18,bicycle,157578,148830,117773,31057,39805,0.6243433085058446,0.7473949409181485,0.7913256735873144,0.25260505908185155,45736,20890,0.45675179289837325,0.22568505755879628
3,wall,2786043,3199587,2165542,1034045,620501,0.5668827524392108,0.7772823319668792,0.6768192269814823,0.22271766803312082,475152,214828,0.4521247937502105,nan
11,person,318131,315137,247895,67242,70236,0.6432599066359086,0.7792230244773379,0.7866261340305962,0.22077697552266204,111687,34649,0.31023306203944956,0.17983157881501646
7,traffic_sign,572593,564232,446634,117598,125959,0.6471165228175969,0.7800200142160313,0.7915786414099165,0.2199799857839687,203446,67392,0.3312525190959763,nan
5,pole,1946289,2150269,1566730,583539,379559,0.6193029723759876,0.8049832270541528,0.7286204656254636,0.1950167729458472,1049108,279380,0.2663024207231286,nan
6,traffic_light,357236,374615,315762,58853,41474,0.758880912497086,0.8839030780772374,0.8428973746379617,0.11609692192276254,128307,30421,0.23709540399198797,nan
14,truck,714929,713137,633750,79387,81179,0.7978562687897511,0.8864516616335328,0.8886791738473814,0.11354833836646716,59091,27725,0.4691915858590987,0.06483301138994221
1,sidewalk,11905330,11797371,10689288,1108083,1216042,0.8214054222362727,0.8978573462474371,0.906073734563404,0.10214265375256293,1605707,540709,0.3367420083489703,nan
15,bus,933656,885104,866567,18537,67089,0.9100749532920321,0.9281437702965546,0.9790566984218804,0.07185622970344538,48121,20977,0.43592194675921114,0.046568543446408525
8,vegetation,45047967,44909456,41936121,2973335,3111846,0.8732816323888928,0.9309214997427075,0.9337926738636068,0.06907850025729241,4196802,992654,0.23652628835003414,nan
2,building,31579994,31576997,29442316,2134681,2137678,0.8732789504866946,0.9323091068351691,0.9323975930960122,0.06769089316483087,2645654,773281,0.2922834958766339,nan
16,train,1284220,1257233,1208777,48456,75443,0.907029915748464,0.9412538350126926,0.961458218166402,0.05874616498730747,77111,29550,0.38321380866543037,0.03933204591113672
13,car,3515628,3671619,3334634,336985,180994,0.8655512505408667,0.948517306154121,0.9082189628063261,0.05148269384587903,515746,88256,0.1711229946524064,0.03498037903896544
10,sky,57359699,57645484,56172082,1473402,1187617,0.9547700366839409,0.9792952714064974,0.9744402874646694,0.020704728593502558,2422650,486535,0.20082760613377912,nan
0,road,35647746,35787887,35012977,774910,634769,0.9612966445939582,0.9821932921088475,0.9783471429872348,0.0178067078911525,1169589,285298,0.24393013272183647,nan
