gt_class_id,gt_class_name,pred_0_road,pred_1_sidewalk,pred_2_building,pred_3_wall,pred_4_fence,pred_5_pole,pred_6_traffic_light,pred_7_traffic_sign,pred_8_vegetation,pred_9_terrain,pred_10_sky,pred_11_person,pred_12_rider,pred_13_car,pred_14_truck,pred_15_bus,pred_16_train,pred_17_motorcycle,pred_18_bicycle
0,road,35012977,496747,7421,4387,11550,8778,40,1135,5147,15498,121,4164,104,60429,4610,5413,8486,275,464
1,sidewalk,625316,10689288,54339,114608,66444,31058,0,1254,67280,202633,0,12972,69,25898,4771,114,161,1768,7357
2,building,2056,44833,29442316,285096,130356,123843,15899,31420,1075211,3442,323451,10982,82,46787,7826,6338,22065,1265,6726
3,wall,15069,110843,163346,2165542,161142,25108,24,794,101977,23215,1,2906,115,13882,157,74,572,790,486
4,fence,20684,48216,297653,451159,2012799,51958,1964,15883,282356,48542,5655,1580,97,39130,5888,284,85,1598,1488
5,pole,5651,24126,113913,8370,27697,1566730,15250,16166,104294,13633,34337,2371,44,9384,879,108,1566,187,1583
6,traffic_light,0,0,14224,4,2,8339,315762,2015,12535,0,3827,14,0,208,148,30,128,0,0
7,traffic_sign,2451,892,59808,2052,12347,18056,2286,446634,18580,350,2001,2379,0,3032,313,31,987,22,372
8,vegetation,4148,91414,1005853,117735,281290,216808,14641,24629,41936121,199734,1096010,9888,257,38418,3352,1272,1550,898,3949
9,terrain,34000,266682,19935,44868,64985,12303,0,278,415033,1559722,4,1731,1,8240,39,199,22,183,89
10,sky,2,311,273533,23,4967,57597,7713,18904,819767,0,56172082,0,0,304,363,1435,2698,0,0
11,person,3774,6231,17700,1067,5008,8454,26,2293,11900,679,78,247895,542,7214,1034,242,3221,318,455
12,rider,116,73,469,0,230,339,17,88,372,5,0,6960,5141,934,511,0,0,1034,886
13,car,40960,5690,35772,1748,5885,9485,214,1122,21110,840,152,5833,173,3334634,47212,1593,1711,1231,263
14,truck,4588,1032,25412,480,5577,2709,234,889,4436,155,839,204,0,31460,633750,1323,1816,0,25
15,bus,5556,334,7398,534,186,3951,382,79,21486,0,3573,191,0,18227,1808,866567,3384,0,0
16,train,9830,641,25814,25,3926,2726,163,641,3392,0,3353,1280,0,23230,341,81,1208777,0,0
17,motorcycle,406,2559,1879,1462,542,209,0,0,660,28,0,1542,98,9262,3,0,0,39479,6914
18,bicycle,303,7459,10212,427,7494,1818,0,8,7799,43,0,2245,338,946,132,0,4,577,117773
