category,rank,dataset_index,condition,image_path,visualization_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
worst_miou,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/proposed/examples/worst_miou/01_idx00155_miou0.2397_err0.4119_GOPR0351_frame_000825_rgb_anon.png,0.23972865505999402,0.41191361666110954,0.6502197646391606,0.25250978390335205
worst_miou,2,205,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000488_rgb_anon.png,outputs/analysis/proposed/examples/worst_miou/02_idx00205_miou0.3070_err0.1985_GOPR0356_frame_000488_rgb_anon.png,0.3069983860844334,0.19846925310108207,0.5200663094182505,1.0
worst_miou,3,193,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000452_rgb_anon.png,outputs/analysis/proposed/examples/worst_miou/03_idx00193_miou0.3119_err0.2147_GOPR0356_frame_000452_rgb_anon.png,0.31186988211617456,0.2147490596170993,0.5434959119318719,0.8100733720574748
worst_miou,4,159,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000330_rgb_anon.png,outputs/analysis/proposed/examples/worst_miou/04_idx00159_miou0.3179_err0.1302_GOPR0356_frame_000330_rgb_anon.png,0.31792285370348095,0.13016974912455456,0.42158234660925725,0.542713567839196
worst_miou,5,161,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000336_rgb_anon.png,outputs/analysis/proposed/examples/worst_miou/05_idx00161_miou0.3250_err0.2058_GOPR0356_frame_000336_rgb_anon.png,0.32502179289945693,0.2058462088097744,0.4787245425687484,0.7045985970381917
best_miou,1,399,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GP030176/GP030176_frame_000589_rgb_anon.png,outputs/analysis/proposed/examples/best_miou/01_idx00399_miou0.9442_err0.0185_GP030176_frame_000589_rgb_anon.png,0.9442118814435794,0.01847534155930092,0.1928214396656406,0.03432131793860884
best_miou,2,69,fog,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GP010476/GP010476_frame_000142_rgb_anon.png,outputs/analysis/proposed/examples/best_miou/02_idx00069_miou0.9031_err0.0311_GP010476_frame_000142_rgb_anon.png,0.9031153577078627,0.03110387664366325,0.23909041462700306,0.03626943005181347
best_miou,3,326,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0122/GOPR0122_frame_000332_rgb_anon.png,outputs/analysis/proposed/examples/best_miou/03_idx00326_miou0.8700_err0.0503_GOPR0122_frame_000332_rgb_anon.png,0.8699726834406589,0.05028135587534802,0.21772169794648852,0.03076923076923077
best_miou,4,281,rain,/home/user/DATA/awseg/data/raw/rgb_anon/rain/val/GP020402/GP020402_frame_000898_rgb_anon.png,outputs/analysis/proposed/examples/best_miou/04_idx00281_miou0.8652_err0.0402_GP020402_frame_000898_rgb_anon.png,0.865229270566698,0.040156393921525556,0.25920336333746563,0.010275995117918029
best_miou,5,315,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0122/GOPR0122_frame_000085_rgb_anon.png,outputs/analysis/proposed/examples/best_miou/05_idx00315_miou0.8558_err0.0361_GOPR0122_frame_000085_rgb_anon.png,0.8557696890932586,0.03611556817458084,0.24234120812658916,0.10678733031674208
highest_pixel_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/proposed/examples/highest_pixel_error/01_idx00155_miou0.2397_err0.4119_GOPR0351_frame_000825_rgb_anon.png,0.23972865505999402,0.41191361666110954,0.6502197646391606,0.25250978390335205
highest_pixel_error,2,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/proposed/examples/highest_pixel_error/02_idx00154_miou0.3439_err0.3190_GOPR0351_frame_000822_rgb_anon.png,0.3439479281037905,0.3190340665101003,0.5541880644590048,0.49177126917712694
highest_pixel_error,3,203,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000482_rgb_anon.png,outputs/analysis/proposed/examples/highest_pixel_error/03_idx00203_miou0.3959_err0.3165_GOPR0356_frame_000482_rgb_anon.png,0.3958556355542318,0.316463328211439,0.49976546620107365,nan
highest_pixel_error,4,180,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000398_rgb_anon.png,outputs/analysis/proposed/examples/highest_pixel_error/04_idx00180_miou0.4489_err0.2596_GOPR0356_frame_000398_rgb_anon.png,0.4488505047769422,0.25959409385021587,0.5119687640786905,0.6282527881040892
highest_pixel_error,5,100,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000033_rgb_anon.png,outputs/analysis/proposed/examples/highest_pixel_error/05_idx00100_miou0.4184_err0.2286_GOPR0351_frame_000033_rgb_anon.png,0.4183685179645173,0.22861112393648503,0.5073799694621953,0.022727272727272728
highest_boundary_error,1,155,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000825_rgb_anon.png,outputs/analysis/proposed/examples/highest_boundary_error/01_idx00155_miou0.2397_err0.4119_GOPR0351_frame_000825_rgb_anon.png,0.23972865505999402,0.41191361666110954,0.6502197646391606,0.25250978390335205
highest_boundary_error,2,160,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000333_rgb_anon.png,outputs/analysis/proposed/examples/highest_boundary_error/02_idx00160_miou0.3999_err0.1827_GOPR0356_frame_000333_rgb_anon.png,0.3998645967200229,0.1826779120205543,0.6007796947577969,0.16756756756756758
highest_boundary_error,3,154,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000822_rgb_anon.png,outputs/analysis/proposed/examples/highest_boundary_error/03_idx00154_miou0.3439_err0.3190_GOPR0351_frame_000822_rgb_anon.png,0.3439479281037905,0.3190340665101003,0.5541880644590048,0.49177126917712694
highest_boundary_error,4,193,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000452_rgb_anon.png,outputs/analysis/proposed/examples/highest_boundary_error/04_idx00193_miou0.3119_err0.2147_GOPR0356_frame_000452_rgb_anon.png,0.31186988211617456,0.2147490596170993,0.5434959119318719,0.8100733720574748
highest_boundary_error,5,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/proposed/examples/highest_boundary_error/05_idx00103_miou0.3319_err0.2037_GOPR0351_frame_000047_rgb_anon.png,0.3318883279424429,0.20371461431367405,0.5279894004637297,0.8354253835425384
highest_dynamic_to_background,1,102,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000043_rgb_anon.png,outputs/analysis/proposed/examples/highest_dynamic_to_background/01_idx00102_miou0.5120_err0.1116_GOPR0351_frame_000043_rgb_anon.png,0.5119631836797024,0.11161390561274034,0.49676521477469343,1.0
highest_dynamic_to_background,2,189,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000430_rgb_anon.png,outputs/analysis/proposed/examples/highest_dynamic_to_background/02_idx00189_miou0.3618_err0.0725_GOPR0356_frame_000430_rgb_anon.png,0.3618399216140767,0.07249137239321632,0.4004472517556593,0.9438943894389439
highest_dynamic_to_background,3,110,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000063_rgb_anon.png,outputs/analysis/proposed/examples/highest_dynamic_to_background/03_idx00110_miou0.5429_err0.1138_GOPR0351_frame_000063_rgb_anon.png,0.5428531214443584,0.11384904433283954,0.46406063702946687,0.8885658914728682
highest_dynamic_to_background,4,344,snow,/home/user/DATA/awseg/data/raw/rgb_anon/snow/val/GOPR0604/GOPR0604_frame_000310_rgb_anon.png,outputs/analysis/proposed/examples/highest_dynamic_to_background/04_idx00344_miou0.5337_err0.0315_GOPR0604_frame_000310_rgb_anon.png,0.5337248987887505,0.03146766929752058,0.23794945487488675,0.8397260273972603
highest_dynamic_to_background,5,103,night,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/proposed/examples/highest_dynamic_to_background/05_idx00103_miou0.3319_err0.2037_GOPR0351_frame_000047_rgb_anon.png,0.3318883279424429,0.20371461431367405,0.5279894004637297,0.8354253835425384
