dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.4968859294015613,0.024695601454030353,0.24775280898876403,0.013398846587364989,0.019008825526137134,480045,23140,456905,7365,11855,5733,6122,140
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.7111725446563888,0.02292705629355619,0.23202510869878198,0.0072687675870322255,0.035856573705179286,498494,34729,463765,10542,11429,8058,3371,378
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.8561214489939938,0.020821407841802933,0.23149027804167457,0.00660824011007324,0.01825221238938053,499630,31578,468052,1808,10403,7310,3093,33
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.6875142326299458,0.018467371233253448,0.21084826346611005,0.004484097048671839,0.030519707010812695,509060,34494,474566,11468,9401,7273,2128,350
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7855369132760863,0.02323409200030664,0.18572717738591743,0.008581614407963175,0.02554192572676861,495694,41001,454693,5951,11517,7615,3902,152
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6776312684198167,0.01279831070090718,0.19965441407477222,0.0030457997273947756,0.018237992697312987,513349,25464,487885,53405,6570,5084,1486,974
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.5698258951220179,0.02368209740233669,0.228060446416193,0.00773034680517232,0.05274609349245071,498140,36065,462075,15167,11797,8225,3572,800
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6569312291907307,0.04661246950629839,0.2585634374094627,0.024797805333443435,0.023342558055588977,480837,44871,435966,8311,22413,11602,10811,194
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.4383640354133735,0.10879257030412194,0.2946715121767038,0.09080320377107699,0.19812322946175637,480235,42376,437859,11296,52246,12487,39759,2238
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6463638998486392,0.034531498774261295,0.2270815811606392,0.011932670930631675,0.012672176308539946,498067,52316,445751,3630,17199,11880,5319,46
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.7243347370972629,0.041536439487879585,0.2524309676048106,0.01535748757219778,0.008439189486176432,511286,56459,454827,22751,21237,14252,6985,192
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.6398340704648999,0.05753605627981051,0.29068374803191993,0.016208557259501506,0.003048780487804878,493534,74311,419223,328,28396,21601,6795,1
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.779251474750794,0.040357439328092194,0.24689371315394495,0.010519774314403998,0.10996119016817593,511975,64627,447348,2319,20662,15956,4706,255
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7162488804459821,0.03298921998769133,0.2543167242229896,0.01361703046397651,0.05547112462006079,503710,40540,463170,1316,16617,10310,6307,73
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7711795264574809,0.05351104505050703,0.26824972906022604,0.02937062024223147,0.13190092509698598,511315,51672,459643,3351,27361,13861,13500,442
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6638356494665087,0.0775766322836897,0.25469716961846534,0.05687135836907074,0.011348897535667963,514111,53809,460302,6168,39883,13705,26178,70
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.5967527392848658,0.05336190405109733,0.28119452662721894,0.026286296932752612,0.06214887640449438,509146,54080,455066,2848,27169,15207,11962,177
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6740672770805823,0.08847791639962412,0.2309036402569593,0.07001374691027643,0.027090388121906745,508658,58375,450283,7678,45005,13479,31526,208
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.5798389685129035,0.052287087283165654,0.2783969402862313,0.02805095766017941,0.03195488721804511,502342,48632,453710,1064,26266,13539,12727,34
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7798504283155657,0.033278692688378346,0.21407257848374936,0.01108230122273846,0.19891745602165087,511829,55967,455862,739,17033,11981,5052,147
20,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000899_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000899_gt_labelTrainIds.png,fog,0.6786435916703305,0.02928244899093459,0.21760205465825028,0.006066970795595927,0.003813945775640494,503783,55289,448494,12061,14752,12031,2721,46
