gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
8,vegetation,10,sky,1259744,0.02796450281541007
2,building,8,vegetation,1041465,0.03297863197820747
8,vegetation,2,building,1018962,0.022619489132550644
1,sidewalk,0,road,707724,0.05944597923787077
10,sky,8,vegetation,667075,0.01162968097165224
0,road,1,sidewalk,499558,0.014013733154404769
4,fence,3,wall,417799,0.12710574535772381
2,building,10,sky,378613,0.011989014310769026
9,terrain,8,vegetation,370830,0.15271089323703607
4,fence,8,vegetation,306899,0.09336696867283091
4,fence,2,building,269292,0.08192590307509631
8,vegetation,9,terrain,246625,0.005474719869156359
9,terrain,1,sidewalk,243575,0.10030622069468775
8,vegetation,4,fence,237897,0.005280970837152318
10,sky,2,building,234006,0.004079623918528582
1,sidewalk,9,terrain,220435,0.018515656432875022
8,vegetation,5,pole,177537,0.003941065753311354
2,building,3,wall,177438,0.0056186837780906485
3,wall,4,fence,172164,0.061795169708435946
8,vegetation,3,wall,137264,0.003047063144936152
3,wall,2,building,132055,0.047398765919980414
1,sidewalk,3,wall,127297,0.010692437756870243
2,building,4,fence,127227,0.004028721474741256
5,pole,2,building,119650,0.0614759678547225
5,pole,8,vegetation,115688,0.059440298948409
2,building,5,pole,108706,0.0034422425792734477
3,wall,8,vegetation,105338,0.03780917954245502
3,wall,1,sidewalk,102684,0.03685657400119094
8,vegetation,1,sidewalk,95755,0.002125623116355062
7,traffic_sign,2,building,65818,0.11494726620828406
