class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,7078,4599,2479,12576,0.23399816831179404,0.26777292576419215,0.6497598191579542,0.7322270742358079,8437,6571,0.778831338153372,0.12873362445414846
17,motorcycle,65043,51065,37450,13615,27593,0.47611177502606217,0.5757729502021739,0.7333790267306374,0.42422704979782605,20940,11485,0.5484718242597899,0.1729932506188214
4,fence,3287019,2735656,2029887,705769,1257132,0.5083883742387525,0.6175464760015077,0.7420110569457563,0.38245352399849225,440898,234732,0.5323952478804621,nan
9,terrain,2428314,2077265,1574879,502386,853435,0.5373729825638925,0.6485483343587362,0.7581502600775539,0.35145166564126384,554053,284604,0.5136764894333213,nan
7,traffic_sign,572593,503107,418006,85101,154587,0.6355630429956789,0.7300228958439939,0.8308491036697959,0.2699771041560061,203446,80148,0.39395220353312427,nan
18,bicycle,157578,149952,115949,34003,41629,0.6052218121838805,0.735819721027047,0.7732407703798548,0.2641802789729531,45736,21267,0.46499475249256605,0.2478708956834076
11,person,318131,293641,241054,52587,77077,0.6502354889700527,0.7577193043117458,0.8209139731849435,0.24228069568825422,111687,42065,0.3766329116190783,0.20154904740499982
3,wall,2786043,2902761,2127626,775135,658417,0.5974500572563348,0.7636730660653838,0.7329663034607397,0.23632693393461623,475152,212573,0.4473789440010775,nan
5,pole,1946289,1893910,1496453,397457,449836,0.6384877030190131,0.7688750231851488,0.7901394469642169,0.23112497681485122,1049108,337082,0.3213034311052818,nan
6,traffic_light,357236,338961,301358,37603,55878,0.7632427394456981,0.84358239371172,0.8890639336088813,0.15641760628828003,128307,41385,0.32254670438869276,nan
14,truck,714929,671064,631640,39424,83289,0.8373268217929802,0.8835003196121572,0.9412515050725415,0.11649968038784271,59091,29821,0.5046623005195376,0.06568904045017057
1,sidewalk,11905330,11840897,10689135,1151762,1216195,0.8186459128878008,0.8978444948607053,0.9027301732292747,0.10215550513929475,1605707,504190,0.31399875568830427,nan
15,bus,933656,878272,855010,23262,78646,0.8935039365964482,0.9157655496242727,0.9735139000218611,0.08423445037572724,48121,20504,0.4260925583425116,0.0664398879244604
8,vegetation,45047967,45276996,42128335,3148661,2919632,0.87409299671338,0.9351883737616838,0.9304578201256991,0.06481162623831614,4196802,956793,0.2279814487316771,nan
2,building,31579994,31609770,29584213,2025557,1995781,0.8803370907383724,0.9368023629136851,0.9359199070413989,0.06319763708631483,2645654,751279,0.2839672156676572,nan
16,train,1284220,1280789,1215696,65093,68524,0.9009740512394085,0.9466415411689586,0.9491774211052718,0.053358458831041414,77111,24663,0.3198376366536551,0.03208951737241283
13,car,3515628,3605380,3341761,263619,173867,0.8842399028166192,0.9505445399797703,0.926881771130921,0.04945546002022967,515746,103819,0.2012987012987013,0.04160963560422206
10,sky,57359699,57877115,56316347,1560768,1043352,0.9558027942989658,0.9818103647998572,0.973033071879965,0.018189635200142874,2422650,414688,0.17117123810703155,nan
0,road,35647746,35930911,35072669,858242,575077,0.9607374275146313,0.9838677878820165,0.9761141040927128,0.01613221211798356,1169589,258623,0.22112297567778083,nan
